genes_79_53_26_45_18_40_2_40_5_44_30_0_71_0_62_26_12_99_52_8_9_14_53_100_11_87_60_80_42_10_67_53_27_19_14_86_51_60_92_8_95_77_95_35_15_55_28_21_12_92_77_66_78_12_37_61_40_17_1_70_28_69_66_27_12_30_23_57_28_73_86_28_3_24_42_48_30_32_75_40_81_80_44_76_91_15_91_32_28_47_94_61_77_72_75_21_47_16_82,2,0.3149,36.5
genes_35_5_82_34_92_96_45_94_54_27_68_12_8_17_91_28_76_90_82_19_2_68_88_97_23_2_26_51_87_40_72_20_21_75_70_95_17_74_72_47_13_85_9_69_93_65_28_37_4_60_61_89_62_87_79_6_98_78_73_42_43_67_10_17_61_55_93_17_19_15_54_71_11_41_23_46_90_62_1_48_11_34_19_22_17_31_58_73_15_50_90_72_4_92_24_18_17_58_54,1,0.3187,34.0
genes_75_48_53_20_73_35_88_49_84_65_14_48_48_100_62_37_95_98_17_32_84_15_56_91_43_20_98_46_7_65_20_62_63_97_1_57_59_65_24_8_32_12_80_77_15_59_76_39_82_11_19_47_81_4_25_62_71_50_98_48_37_83_24_29_79_76_7_26_25_98_85_6_24_65_30_75_26_93_98_74_79_31_76_3_95_71_36_22_21_80_18_15_75_68_95_16_63_41_100,1,0.314,32.0
genes_49_58_9_42_48_5_38_6_10_15_59_31_72_90_14_78_76_21_68_95_93_83_45_22_45_5_83_65_61_97_26_63_91_32_71_86_76_56_22_11_9_32_14_75_45_31_69_93_43_88_30_28_18_6_5_39_48_97_61_23_11_13_93_23_93_82_14_29_17_4_51_6_35_60_71_79_66_49_9_35_75_89_44_52_31_10_59_11_46_39_28_24_2_88_73_58_94_65_0,1,0.243,31.0
genes_22_97_14_0_70_28_13_95_1_11_25_78_76_70_47_45_40_78_17_55_85_99_15_79_41_77_71_62_80_37_79_10_2_88_18_45_92_53_12_17_67_61_37_71_4_69_66_24_39_38_35_17_78_1_47_78_17_54_16_35_90_43_83_51_15_0_34_28_90_0_42_74_23_59_84_70_43_37_44_22_89_78_36_73_75_39_63_42_12_44_41_8_38_80_28_76_71_72_49,1,0.2907,30.0
genes_83_7_82_51_89_64_45_15_39_17_20_17_81_80_93_49_59_13_6_77_11_35_65_88_24_86_22_59_17_46_28_73_61_85_61_83_84_85_14_43_90_41_74_37_34_40_19_72_41_96_11_88_76_75_89_44_55_0_40_84_23_63_52_64_3_30_44_97_70_73_44_88_71_45_28_67_82_47_0_77_80_79_41_13_38_74_17_1_69_11_98_29_97_19_80_49_17_87_78,1,0.2243,29.0
genes_95_49_11_59_51_54_30_6_5_52_51_41_100_93_5_2_32_91_37_55_65_47_54_90_0_14_95_25_94_75_0_73_30_66_59_7_77_28_5_92_21_53_58_92_83_21_9_51_6_90_14_16_75_54_88_66_60_29_5_53_20_65_86_27_1_15_58_71_68_92_45_40_44_83_43_45_61_100_40_88_22_33_41_10_48_13_70_90_59_88_19_94_67_6_48_78_85_5_33,1,0.2243,29.0
genes_71_51_12_36_89_19_13_20_68_22_45_7_58_88_6_26_7_35_98_71_13_50_47_50_32_40_81_54_36_13_58_61_25_41_18_28_51_46_33_70_99_62_82_62_3_51_17_73_90_91_15_42_66_85_72_43_16_30_27_60_58_59_92_14_4_52_42_74_55_46_31_92_63_68_96_83_21_53_54_42_5_70_10_23_11_66_95_25_77_76_53_89_58_69_80_97_76_21_75,3,0.2199,26.0
genes_36_34_99_77_74_27_80_72_7_67_82_1_33_69_65_98_37_81_30_49_50_3_12_88_32_37_23_70_77_50_5_16_86_74_38_92_37_92_5_97_76_84_32_54_23_65_37_97_50_11_60_17_0_79_48_25_44_63_92_29_51_41_47_43_0_9_18_94_84_32_77_9_12_63_56_55_99_20_29_27_72_17_100_30_34_17_44_92_97_65_96_60_6_87_3_85_61_61_76,1,0.1869,25.0
genes_51_52_44_72_97_45_4_14_75_73_84_92_21_90_52_80_21_97_25_85_95_69_89_29_92_7_88_53_83_33_32_21_31_78_33_16_20_62_2_11_85_25_34_53_95_67_99_87_86_70_52_54_17_11_51_8_32_91_18_3_40_61_3_15_42_15_39_70_93_52_64_4_93_1_39_97_11_16_27_68_48_27_57_14_83_100_89_70_38_15_80_6_76_45_15_84_52_43_46,1,0.1776,24.0
