genes_34_48_18_40_92_15_92_30_15_42_100_93_61_64_18_79_71_36_87_44_38_53_36_83_8_45_73_38_55_80_44_39_96,8,0.125,12.5
genes_29_49_18_100_87_15_92_30_15_42_97_93_60_64_20_70_71_45_75_44_35_51_33_79_6_66_73_36_50_82_44_38_96,8,0.125,12.5
genes_34_44_18_100_87_15_92_98_15_42_97_93_57_64_20_75_68_36_91_44_35_97_33_83_9_63_73_38_46_82_47_43_92,8,0.25,0.0
genes_32_49_18_100_90_15_88_32_18_42_97_1_60_64_17_75_72_45_75_44_35_78_33_79_6_65_82_37_50_80_44_39_96,8,0.244,-0.125
genes_29_44_19_100_92_15_92_100_18_41_97_0_62_64_20_75_68_45_75_44_38_78_33_79_6_65_82_31_50_80_40_34_96,8,0.2083,-1.25
genes_29_53_18_100_87_15_92_32_15_41_97_17_60_64_20_75_68_45_75_49_35_78_33_79_3_40_74_41_50_83_44_34_70,8,0.2083,-1.25
genes_29_49_15_95_87_15_92_99_13_42_97_1_65_61_20_75_62_45_95_44_35_51_33_79_6_61_79_36_50_82_40_34_97,8,0.1875,-2.5
genes_67_11_15_100_90_15_92_30_18_42_97_1_60_17_20_75_62_45_95_44_35_51_33_79_6_65_78_36_50_80_40_34_97,8,0.175,-12.5
genes_67_49_15_100_90_15_92_99_15_42_97_1_62_64_20_75_62_45_95_42_38_51_33_79_6_65_82_31_49_83_40_34_97,8,0.1705,-13.75
genes_67_49_18_100_87_16_92_99_15_42_100_93_60_64_18_75_71_45_75_44_35_48_33_79_6_65_73_36_50_44_44_34_97,8,0.1667,-25.0
