genes_44_90_84_29_82_49_89_18_41_18_82_4_0_63_77_0_25_100_18_65_84_5_5_70_14_36_50_100_92_29_81_89_38,8,0.0021,[44.5932],0.0,0.0
genes_72_63_59_97_100_58_97_92_50_44_14_0_0_30_83_4_90_91_91_100_91_7_5_79_72_29_61_64_86_60_28_55_85,8,0.0017,[44.498],0.0,0.0
genes_71_79_89_91_97_59_90_59_66_29_10_48_0_29_19_2_33_70_85_64_86_7_71_87_43_36_55_61_68_78_50_93_38,8,0.0021,[44.4736],0.0,0.0
genes_89_24_91_54_100_87_24_75_78_75_44_0_0_55_83_7_29_81_28_12_77_4_5_74_84_45_61_73_83_59_28_59_6,8,0.002,[44.2397],0.0,0.0
genes_71_20_87_14_100_69_100_28_30_32_14_12_0_94_8_0_90_85_6_71_95_16_5_47_84_55_55_87_96_6_45_70_73,8,0.0018,[44.2143],0.0,0.0
genes_75_22_100_94_94_85_100_57_70_33_13_3_0_16_81_0_1_7_31_58_84_31_5_67_81_35_55_74_98_54_45_55_34,8,0.002,[44.1671],0.0,0.0
genes_39_39_79_54_100_25_75_61_86_72_17_7_0_55_96_7_90_81_46_98_90_81_0_74_47_38_51_87_83_84_52_48_5,8,0.0022,[44.1653],0.0,0.0
genes_44_16_97_71_100_42_77_57_36_42_60_0_0_4_73_0_92_0_57_79_77_1_18_51_95_48_49_99_60_92_55_25_44,8,0.0018,[44.1488],0.0,0.0
genes_34_63_59_1_100_86_100_28_60_33_54_0_0_100_87_10_23_17_91_97_24_11_5_83_72_35_61_99_86_38_56_55_34,8,0.0021,[43.989],0.0,0.0
genes_63_24_75_82_100_87_49_23_66_44_44_4_0_53_36_7_21_97_42_58_77_4_42_70_0_45_61_59_83_31_27_87_40,8,0.002,[43.9148],0.0,0.0
genes_38_67_97_94_88_84_75_67_87_34_73_4_0_85_79_15_0_0_68_53_66_11_42_83_47_71_55_95_82_89_91_73_61,8,0.002,[43.8563],0.0,0.0
genes_44_79_99_48_97_42_31_77_59_50_23_7_0_48_83_8_84_1_81_41_68_7_14_50_16_65_63_99_55_89_34_77_88,8,0.0022,[43.8444],0.0,0.0
genes_77_18_99_55_95_55_100_96_55_48_84_0_0_34_100_4_1_87_43_28_86_4_17_77_81_32_55_76_98_84_55_91_34,8,0.0014,[43.7042],0.0,0.0
genes_66_63_97_59_100_58_86_25_50_95_53_0_0_100_83_11_2_83_6_74_91_14_5_52_70_29_61_66_78_29_55_59_53,8,0.0016,[43.6434],0.0,0.0
genes_45_67_97_97_100_50_77_57_71_63_60_0_0_29_68_7_92_0_14_56_77_2_5_70_92_48_50_71_80_96_55_55_34,8,0.002,[43.6098],0.0,0.0
genes_16_14_84_100_93_74_68_15_85_40_36_2_0_46_77_9_0_0_5_77_94_16_65_69_44_45_50_66_83_62_27_97_45,8,0.002,[43.4531],0.0,0.0
genes_6_67_95_100_99_87_18_61_49_79_3_0_0_59_71_0_5_6_47_69_76_14_24_74_89_36_75_87_89_41_33_73_36,8,0.002,[43.421],0.0,0.0
genes_35_74_84_85_95_87_89_75_84_40_12_10_0_55_82_15_23_97_97_98_77_69_4_79_43_67_56_68_68_29_27_10_36,8,0.002,[43.2734],0.0,0.0
genes_76_14_88_80_100_82_54_46_15_30_99_1_0_7_81_8_25_1_6_81_84_3_65_95_93_48_49_73_75_100_55_96_55,8,0.002,[43.0748],0.0,0.0
genes_77_60_91_54_100_74_75_29_84_75_12_15_0_31_78_7_1_81_28_12_79_76_11_74_47_96_54_65_79_29_29_90_9,8,0.002,[43.024],0.0,0.0
genes_44_76_84_89_94_92_89_18_67_44_11_10_0_98_87_7_41_92_28_65_96_14_5_79_0_36_49_100_97_29_24_17_42,8,0.002,[42.843],0.0,0.0
genes_63_63_35_93_94_87_100_57_59_49_29_21_0_53_32_0_92_6_24_95_73_16_22_79_81_50_43_64_81_29_34_0_87,8,0.0022,[42.7176],0.0,0.0
genes_58_14_93_88_88_42_47_96_59_44_19_0_0_55_23_5_1_0_16_12_77_26_87_47_76_38_58_99_84_92_41_11_88,8,0.0021,[42.66],0.0,0.0
genes_63_53_91_87_92_84_89_58_35_22_71_3_0_30_37_0_18_22_33_98_93_31_71_98_84_38_35_80_84_77_73_57_71,8,0.002,[42.4956],0.0,0.0
genes_9_63_84_79_100_73_49_74_84_32_11_17_0_53_81_15_33_17_46_54_68_26_41_75_97_70_60_68_83_4_55_100_68,8,0.002,[42.3772],0.0,0.0
genes_72_84_99_94_100_39_75_28_64_50_73_4_0_80_81_15_0_100_6_56_66_74_48_89_92_93_51_61_89_89_24_70_53,8,0.0021,[42.3448],0.0,0.0
genes_0_70_94_29_99_96_63_40_84_18_48_12_0_60_21_7_25_100_31_95_86_5_49_70_76_48_47_87_81_80_55_86_36,8,0.0021,[42.1394],0.0,0.0
genes_43_74_91_54_97_87_45_58_84_38_84_5_0_55_33_23_23_5_46_31_77_7_9_98_83_71_62_68_84_84_52_44_36,8,0.002,[42.0712],0.0,0.0
genes_63_66_93_86_97_42_44_57_66_29_71_16_0_100_21_9_1_100_90_60_91_26_16_71_7_38_45_63_68_78_41_11_88,8,0.002,[41.7234],0.0,0.0
genes_16_14_90_89_93_96_16_40_10_97_53_1_0_48_18_11_2_12_6_73_88_22_7_52_80_73_49_61_78_29_50_68_53,8,0.0003,[41.7227],0.0,0.0
genes_75_14_86_21_93_96_54_40_14_30_83_1_0_26_72_11_82_0_6_81_86_22_17_95_80_48_49_99_79_51_80_96_29,8,0.0017,[41.6711],0.0,0.0
genes_21_73_87_100_92_42_35_96_59_29_73_17_0_36_79_7_1_89_33_62_84_26_42_84_85_55_62_71_100_29_42_55_1,8,0.0023,[41.4963],0.0,0.0
