genes_86_22_68_17_52_82_26_24_80_67_17_77_0_95_85_56_63_39_58_46_39_65_15_91_38_73_86_7_89_22_92_99_19,8,0.0008,[59.5452],0.0,0.0
genes_99_48_24_21_63_80_11_60_85_62_80_92_0_86_84_45_65_77_54_9_98_68_16_66_93_10_47_86_49_53_94_39_16,8,0.0022,[58.8716],0.0,0.0
genes_24_35_18_0_63_24_57_29_80_24_87_88_0_87_83_81_10_13_99_6_14_60_18_6_37_97_86_87_90_54_99_50_70,8,0.0003,[58.5582],0.0,0.0
genes_94_83_56_16_52_64_43_17_64_82_52_83_0_95_80_54_75_42_92_37_9_28_14_62_16_11_92_7_97_0_92_39_44,8,0.0012,[58.2032],0.0,0.0
genes_86_39_69_21_51_59_50_4_82_13_8_83_0_93_88_16_13_59_96_0_56_81_7_86_16_34_40_16_89_4_90_81_82,8,0.0012,[57.8177],0.0,0.0
genes_50_34_18_83_42_68_23_66_41_65_63_83_0_87_87_44_63_56_75_1_15_22_32_66_55_64_77_35_22_0_86_66_40,8,0.0009,[57.4785],0.0,0.0
genes_97_66_71_38_46_68_11_40_88_79_8_75_0_72_87_82_47_56_68_6_48_48_2_44_66_64_49_11_32_43_76_88_0,8,0.0009,[57.0211],0.0,0.0
genes_100_80_21_86_46_23_34_79_80_56_8_77_0_68_81_60_44_17_27_31_56_70_11_85_38_37_39_10_90_53_92_44_15,8,0.0013,[54.6354],0.0,0.0
genes_18_66_26_25_59_89_61_83_93_60_78_77_0_100_78_16_5_84_87_31_49_100_7_45_91_73_42_13_17_16_90_36_9,8,0.001,[54.3851],0.0,0.0
genes_18_97_22_29_59_87_47_17_80_21_10_85_0_82_98_62_69_17_99_1_57_23_10_63_66_34_44_74_12_12_61_69_9,8,0.0024,[54.2988],0.0,0.0
genes_86_22_28_35_46_87_26_40_80_24_8_78_0_73_87_46_71_53_58_4_39_65_2_76_54_73_92_7_51_22_94_79_11,8,0.0012,[53.605],0.0,0.0
genes_70_48_50_20_65_92_47_32_79_57_87_77_0_65_83_19_35_27_97_1_52_26_18_49_35_8_54_23_12_53_84_69_16,8,0.002,[53.4009],0.0,0.0
genes_45_48_19_22_44_59_24_40_41_62_8_92_0_46_89_45_53_40_92_9_92_74_16_48_55_62_47_10_86_5_97_49_0,8,0.0012,[53.0503],0.0,0.0
genes_52_84_8_25_40_59_58_40_54_97_31_97_0_82_100_22_12_40_92_34_59_70_2_97_100_47_80_8_93_5_71_3_33,8,0.002,[52.8988],0.0,0.0
genes_91_81_17_50_60_29_6_17_16_62_10_76_0_95_100_54_34_72_81_32_16_22_62_42_15_19_89_72_13_7_84_81_40,8,0.0017,[52.7949],0.0,0.0
genes_20_35_25_10_65_45_6_10_68_24_46_85_0_92_80_81_44_39_99_4_26_77_20_7_99_96_57_85_14_15_99_69_6,8,0.001,[52.4471],0.0,0.0
genes_89_13_18_22_44_68_23_40_41_19_11_79_0_66_79_44_72_56_17_1_14_17_17_63_55_64_92_14_20_0_79_55_21,8,0.0015,[52.2193],0.0,0.0
genes_95_80_76_40_40_59_45_79_80_82_11_76_0_61_84_16_35_17_16_31_85_70_72_85_36_75_57_10_10_53_96_3_15,8,0.0011,[52.2036],0.0,0.0
genes_52_80_64_29_45_68_23_80_42_21_26_73_0_69_87_85_35_17_91_6_19_26_24_99_66_85_27_31_14_11_85_45_100,8,0.0012,[51.8835],0.0,0.0
genes_50_81_19_23_42_78_14_73_64_62_63_83_0_88_79_43_68_99_75_4_87_19_11_70_14_12_77_35_4_44_86_100_0,8,0.0013,[51.7872],0.0,0.0
genes_18_46_57_43_65_82_61_83_60_22_99_78_0_72_78_77_76_13_99_31_10_100_90_49_54_75_28_75_51_43_59_39_38,8,0.001,[51.5747],0.0,0.0
genes_68_35_18_29_52_9_51_51_68_24_87_83_0_64_80_62_72_39_99_1_39_23_3_8_37_34_86_86_90_54_61_50_6,8,0.0014,[51.4488],0.0,0.0
genes_86_4_75_28_52_64_45_74_80_32_80_80_0_95_85_51_71_79_58_37_32_27_15_91_38_73_57_7_52_3_84_52_14,8,0.0014,[51.0476],0.0,0.0
genes_15_38_17_85_62_9_11_51_31_85_61_77_0_66_83_60_69_39_63_6_18_19_37_45_64_34_51_8_95_7_61_37_17,8,0.0008,[50.4754],0.0,0.0
genes_29_11_57_19_60_82_23_13_54_2_8_82_0_73_87_60_10_13_52_1_9_48_90_62_54_2_93_35_51_43_94_39_21,8,0.002,[50.1365],0.0,0.0
genes_100_41_7_38_46_23_6_17_80_85_35_79_0_62_95_53_38_81_59_13_85_17_3_85_36_1_59_14_52_6_92_100_59,8,0.0013,[49.8239],0.0,0.0
genes_68_38_17_21_46_80_10_51_85_28_61_83_0_68_96_48_65_23_89_9_42_23_16_63_38_36_85_74_95_10_61_37_17,8,0.0013,[49.7319],0.0,0.0
genes_66_48_18_21_65_9_11_51_31_87_87_64_0_62_82_62_72_11_56_38_39_20_6_63_96_14_82_86_12_9_61_69_19,8,0.0011,[49.7055],0.0,0.0
genes_89_0_17_25_33_64_45_62_61_60_10_80_0_77_96_22_59_70_36_37_42_18_32_33_64_42_64_35_52_44_84_52_39,8,0.0012,[49.6675],0.0,0.0
genes_17_85_72_10_62_23_12_14_38_28_87_100_0_68_94_39_71_98_56_6_39_27_18_63_61_73_51_13_12_8_61_43_75,8,0.0018,[49.657],0.0,0.0
genes_93_73_63_86_46_84_34_50_82_56_28_76_0_92_81_49_10_13_92_31_35_70_11_86_58_19_89_68_90_0_63_40_21,8,0.0011,[49.4602],0.0,0.0
genes_5_51_50_28_59_79_61_62_38_56_83_78_0_66_87_48_63_17_94_13_54_74_14_45_19_94_17_14_17_7_100_30_35,8,0.0018,[49.406],0.0,0.0
genes_82_53_61_53_53_23_11_14_94_12_75_75_0_93_88_56_13_59_92_0_10_81_8_86_53_34_40_31_53_67_58_39_31,8,0.0016,[49.2553],0.0,0.0
genes_17_48_64_20_62_28_12_64_41_84_79_74_0_61_95_50_12_11_86_8_53_12_19_45_47_15_51_13_10_0_82_3_19,8,0.0015,[48.9513],0.0,0.0
genes_99_48_72_17_52_68_9_17_41_19_80_70_0_61_83_85_71_39_100_30_10_17_32_46_60_16_67_19_91_0_61_54_18,8,0.0015,[48.8157],0.0,0.0
genes_95_80_18_38_46_23_43_79_80_85_12_75_0_63_84_85_43_20_24_31_56_22_21_85_91_78_57_7_12_10_40_49_15,8,0.0012,[48.5732],0.0,0.0
genes_29_17_95_18_44_92_57_40_30_28_12_82_0_69_84_43_6_37_86_34_14_18_10_70_55_93_93_74_6_9_45_100_21,8,0.0026,[48.5696],0.0,0.0
genes_17_4_75_20_33_64_12_11_38_60_87_74_0_21_78_39_59_30_36_10_33_28_13_48_45_6_64_13_12_3_84_64_19,8,0.0011,[48.5015],0.0,0.0
genes_65_83_57_40_42_45_55_27_91_85_87_79_0_84_100_19_60_29_99_1_21_22_18_49_37_14_61_17_16_53_79_50_10,8,0.0014,[48.4441],0.0,0.0
genes_52_81_17_25_41_29_46_55_93_62_12_76_0_76_100_54_64_17_81_32_20_73_62_42_15_12_27_53_16_6_85_44_17,8,0.0014,[48.4118],0.0,0.0
genes_49_41_8_25_40_50_29_40_40_20_35_79_0_91_100_48_35_31_100_41_92_22_100_97_54_47_5_15_54_5_71_28_64,8,0.0014,[48.2663],0.0,0.0
genes_95_81_7_42_46_23_9_17_85_85_13_74_0_63_97_22_44_17_27_31_56_70_72_85_32_34_44_10_12_53_92_62_16,8,0.0014,[48.1419],0.0,0.0
genes_17_80_76_10_60_26_12_24_68_24_87_83_0_92_94_39_45_13_99_6_52_58_13_59_46_15_55_87_12_9_82_64_19,8,0.0011,[46.9554],0.0,0.0
genes_89_48_17_21_63_83_4_40_17_20_82_87_0_91_83_43_47_27_57_31_55_41_2_80_49_71_17_15_54_11_93_86_64,8,0.0016,[46.5474],0.0,0.0
genes_49_48_64_11_63_23_9_40_82_19_3_83_0_93_83_33_13_59_98_45_10_81_12_44_60_34_40_18_91_0_73_54_18,8,0.0018,[46.3066],0.0,0.0
genes_15_81_8_30_60_91_29_6_19_62_79_76_0_80_95_54_34_82_40_32_21_17_16_42_15_12_89_53_18_12_68_36_40,8,0.0012,[46.2567],0.0,0.0
genes_86_46_26_34_75_86_6_79_60_24_28_75_0_66_83_16_10_26_92_31_51_26_46_71_96_89_80_75_64_49_62_36_100,8,0.0015,[46.1522],0.0,0.0
