genes_64_30_7_27_9_11_48_52_49_7_5_87_60_54_71_57_44_0_60_99_70_71_69_45_46_0_28_39_76_33_28_66_13_37_62_75_24_61_41_92_35_59_93_66_24_2_22_53_22_100_88_67_4_63_44_21_25_13_0_14_27_44_58_37_92_5_0_87_25_23_79_12_72_55_69_16_85_65_33_42_71_71_43_68_68_77_95_11_36_88_43_44_6_54_43_41_43_72_96,1,0.2273,30.0
genes_26_67_61_78_41_73_56_54_50_14_13_36_28_57_53_63_53_26_28_75_70_25_12_60_100_16_78_57_78_25_53_18_50_21_93_17_4_73_24_83_23_71_93_42_53_8_34_2_31_17_45_66_1_93_44_77_94_94_29_41_88_7_53_42_95_86_46_79_34_86_89_12_56_100_78_82_62_75_11_4_82_90_45_68_78_15_65_38_19_63_62_95_7_25_61_59_58_5_3,2,0.2045,27.5
genes_29_85_64_47_10_83_96_53_14_15_8_38_11_30_72_91_63_45_60_99_79_80_78_73_49_92_6_27_54_33_52_20_17_37_93_77_0_73_91_74_5_57_36_98_23_18_30_50_90_100_9_100_89_99_61_100_31_65_57_72_23_17_55_72_94_59_48_3_99_38_45_97_36_59_81_32_67_63_28_52_60_34_54_22_80_94_15_58_48_88_65_64_6_96_5_40_27_64_0,1,0.1909,26.0
genes_14_85_7_2_46_28_61_55_20_16_84_56_36_27_53_83_53_4_56_36_25_68_64_28_29_30_5_31_13_10_28_90_74_13_49_70_0_58_72_17_44_59_93_66_5_2_29_44_31_73_0_100_4_65_44_50_32_89_34_64_79_26_56_82_84_86_8_77_30_13_51_60_91_85_95_4_68_60_17_48_41_45_54_70_79_18_56_38_62_43_41_99_6_97_33_21_60_83_10,1,0.1909,26.0
genes_40_43_59_47_10_99_96_46_49_1_8_11_91_54_72_59_45_45_69_85_7_85_71_73_37_50_3_36_54_90_52_80_67_17_59_43_0_72_72_77_1_62_69_98_24_19_25_50_17_100_93_100_89_99_85_100_13_86_0_95_23_16_56_71_82_87_51_5_25_38_51_63_56_59_81_32_85_76_23_52_41_44_49_61_78_72_15_11_88_88_65_22_26_36_9_36_63_58_94,1,0.1636,23.0
genes_29_34_64_73_10_17_63_55_17_23_5_63_34_54_86_97_46_0_61_86_70_66_82_43_45_100_32_37_99_90_51_44_85_6_49_74_0_60_72_66_50_62_19_93_24_25_49_85_17_22_0_67_92_68_46_98_30_16_1_36_20_43_2_56_4_78_60_12_9_7_51_21_56_85_65_5_69_11_62_56_64_45_52_73_80_59_90_73_91_97_21_96_10_48_46_39_57_58_54,1,0.1636,23.0
genes_8_34_7_80_51_12_56_20_53_96_10_59_6_63_86_72_54_26_59_45_72_68_70_41_100_96_7_23_95_29_47_80_50_29_13_81_4_60_0_62_21_27_7_91_8_20_51_46_17_100_91_15_84_89_63_76_94_86_0_9_91_10_47_87_61_86_45_9_28_55_54_54_65_12_78_77_82_50_58_92_33_26_54_10_63_54_64_38_0_68_20_96_22_90_90_59_10_31_67,1,0.1636,23.0
genes_54_36_19_51_13_6_47_46_43_15_1_33_32_31_55_59_65_83_59_49_4_71_75_88_55_70_28_89_48_17_7_17_78_48_89_48_0_76_95_54_34_27_28_49_88_19_35_23_25_4_100_20_98_53_41_20_32_18_1_64_47_11_62_75_87_87_10_38_81_44_53_13_98_92_66_12_73_80_14_50_57_10_51_22_76_16_77_38_32_54_93_48_22_52_56_57_39_0_60,1,0.1636,23.0
genes_7_48_35_73_96_7_56_52_22_73_68_71_55_59_72_59_43_0_67_86_74_48_41_98_53_100_23_30_95_17_50_43_12_18_18_48_2_69_46_71_12_51_73_52_7_24_20_46_0_21_93_78_93_90_84_50_27_36_0_35_23_7_1_89_1_82_93_8_28_44_92_13_58_15_15_82_19_74_12_58_42_44_53_71_76_15_12_35_59_63_86_50_19_28_56_33_89_34_88,1,0.1636,23.0
genes_76_36_11_47_13_98_50_46_14_15_1_11_39_31_55_61_65_8_54_29_84_66_88_42_49_70_28_33_1_38_53_20_14_7_32_44_0_60_72_54_35_64_28_66_88_19_40_51_25_2_15_20_60_56_41_20_32_11_30_64_17_8_62_79_94_85_0_3_1_33_49_16_44_81_66_13_71_79_41_29_57_5_67_27_63_12_38_38_35_90_50_52_39_78_56_39_63_0_0,2,0.1591,22.5
