genes_12_39_81_51_4_94_56_24_7_72_43_81_0_80_83_21_93_53_4_53_72_26_88_71_18_19_15_43_47_73_2_89_2,2,0.0498,[50.6521],0.0,0.0
genes_100_50_6_53_3_62_21_22_11_72_18_89_0_79_56_71_99_49_88_78_35_96_61_6_44_10_87_35_92_86_3_92_2,3,0.0172,[27.5852],0.0,0.0
genes_94_39_34_54_2_66_60_87_66_94_80_33_0_81_79_69_43_79_70_14_89_44_71_35_18_12_74_6_45_0_1_59_86,3,0.0111,[26.9658],0.0,0.0
genes_10_11_70_53_4_71_39_50_11_91_47_76_0_94_88_89_83_84_59_10_94_45_53_36_17_58_49_33_33_86_100_30_62,3,0.0111,[26.8427],0.0,0.0
genes_98_47_6_25_2_62_39_22_42_72_48_89_0_70_82_86_96_89_66_75_35_96_40_34_44_10_70_6_45_73_3_92_2,4,0.0062,[22.7106],0.0,0.0
genes_98_60_27_48_0_62_31_50_0_91_70_97_0_68_83_71_94_11_94_77_88_65_15_70_36_15_82_13_75_67_1_9_87,4,0.0062,[21.5078],0.0,0.0
genes_82_39_34_53_2_62_39_22_40_68_45_99_0_77_83_71_96_49_66_75_35_42_59_29_21_19_73_98_52_73_1_92_62,4,0.0062,[21.3027],0.0,0.0
genes_93_9_84_100_6_41_56_24_32_88_18_81_0_49_75_59_98_93_95_7_86_45_40_70_29_10_49_36_79_18_94_65_3,3,0.0111,[20.2695],0.0,0.0
genes_13_87_0_45_7_14_39_43_8_63_9_22_0_49_92_85_47_88_73_77_74_42_90_70_22_94_71_27_60_13_2_59_86,4,0.0062,[20.178],0.0,0.0
genes_12_77_34_47_26_35_56_28_56_10_34_42_0_66_77_89_93_89_70_50_78_26_61_71_62_18_98_12_47_78_1_55_62,4,0.0062,[20.0399],0.0,0.0
genes_94_43_70_48_5_73_37_94_0_76_43_36_0_80_51_87_96_54_66_13_63_23_63_39_17_98_46_39_17_3_4_50_5,4,0.0062,[20.0397],0.0,0.0
genes_9_48_41_21_5_17_31_3_47_32_67_82_0_65_79_71_42_11_78_67_83_18_92_35_80_33_75_13_59_67_75_59_9,4,0.0027,[17.6375],0.0,0.0
genes_93_55_55_21_4_18_39_94_47_49_96_76_0_46_83_86_40_36_91_26_72_44_61_68_24_16_84_98_32_73_2_59_0,5,0.0066,[17.5796],0.0,0.0
genes_100_54_74_43_8_19_36_94_56_12_71_81_0_94_81_92_35_54_66_78_63_23_67_71_58_50_19_35_51_73_68_37_11,5,0.004,[16.1207],0.0,0.0
genes_33_47_36_21_4_71_85_91_62_10_61_80_0_86_54_28_49_100_95_52_81_42_67_35_17_82_53_60_62_73_4_91_5,5,0.004,[16.0767],0.0,0.0
genes_12_50_6_53_0_62_54_50_37_72_48_89_0_26_80_65_96_99_68_75_35_96_40_71_63_10_15_10_52_86_4_59_2,5,0.004,[16.0759],0.0,0.0
genes_97_11_78_53_2_38_54_22_42_72_90_81_0_79_46_34_37_95_66_75_39_96_59_19_44_82_70_27_52_17_10_89_2,5,0.004,[16.0759],0.0,0.0
genes_5_94_70_53_4_32_60_43_62_87_68_94_0_80_54_58_34_54_95_18_63_25_62_35_12_21_82_86_45_19_8_59_8,6,0.0028,[16.0642],0.0,0.0
genes_9_54_81_48_91_64_37_49_24_90_5_36_0_10_36_9_96_86_41_10_82_99_87_78_27_15_90_19_34_71_1_7_98,6,0.0045,[15.9718],0.0,0.0
genes_98_45_27_56_7_62_66_48_0_67_22_33_0_68_90_69_46_79_94_11_65_44_99_70_33_15_20_35_67_79_1_44_87,4,0.0027,[15.9374],0.0,0.0
genes_4_55_70_45_8_38_48_17_7_39_77_81_0_91_41_87_96_74_22_75_89_73_87_14_18_86_91_23_78_79_6_65_5,5,0.0041,[15.817],0.0,0.0
genes_28_77_30_55_10_19_33_47_44_68_43_36_0_72_79_67_42_89_65_10_63_19_61_92_50_19_93_6_58_52_3_96_77,6,0.0028,[14.8527],0.0,0.0
genes_6_39_70_17_4_71_85_43_62_6_68_76_0_80_79_72_44_93_68_75_77_43_91_68_24_82_54_11_33_56_2_91_61,6,0.0053,[14.3959],0.0,0.0
genes_98_48_25_45_3_66_39_48_8_91_9_74_0_70_87_85_46_89_94_77_60_95_62_70_31_19_82_35_33_39_2_59_82,6,0.0028,[14.3887],0.0,0.0
genes_98_50_29_56_4_67_85_61_14_90_70_82_0_72_41_85_36_84_95_24_17_42_31_35_11_6_69_11_62_0_75_94_35,5,0.004,[14.3759],0.0,0.0
genes_98_8_78_48_10_21_54_38_56_13_90_37_0_76_79_31_37_95_99_75_39_27_90_63_60_82_18_35_37_81_10_94_66,5,0.004,[14.3646],0.0,0.0
genes_7_54_70_51_8_64_58_63_42_36_64_33_0_91_41_90_96_81_22_23_89_57_87_14_27_12_91_34_59_78_8_66_5,6,0.0028,[14.2519],0.0,0.0
genes_98_54_74_48_8_21_54_61_56_68_71_74_0_70_81_17_42_89_41_77_72_23_39_70_18_19_2_35_37_13_2_99_66,6,0.0028,[13.4486],0.0,0.0
genes_29_94_70_51_4_71_58_42_11_39_64_81_0_94_55_28_87_100_62_56_76_57_85_63_13_6_84_60_35_55_0_94_5,6,0.0028,[13.3598],0.0,0.0
genes_100_94_28_56_14_14_85_21_18_68_9_35_0_62_46_72_93_54_100_21_22_23_91_36_81_35_53_17_62_7_1_16_8,7,0.002,[13.116],0.0,0.0
genes_24_52_65_48_86_38_36_42_30_75_43_32_0_80_59_9_84_74_95_75_81_23_10_70_83_81_51_35_28_74_4_44_2,5,0.0011,[12.51],0.0,0.0
genes_9_55_81_21_8_64_56_45_24_94_96_33_0_46_40_8_51_36_91_26_77_69_65_68_69_85_95_98_32_0_1_7_3,7,0.0042,[12.2344],0.0,0.0
genes_69_77_81_53_4_24_56_28_99_68_38_76_0_67_83_89_43_89_4_75_76_42_83_29_17_19_18_11_47_71_1_86_62,7,0.0039,[12.0376],0.0,0.0
genes_84_89_70_56_98_71_99_43_57_10_7_94_0_80_54_70_34_58_95_16_66_23_53_6_85_86_100_63_31_60_2_45_94,7,0.002,[11.9586],0.0,0.0
genes_98_35_40_53_10_77_39_17_90_96_71_76_0_70_53_89_42_89_70_75_67_39_62_71_62_10_82_7_45_19_8_59_5,7,0.0033,[11.7791],0.0,0.0
genes_68_36_79_56_10_80_41_43_11_12_42_81_0_49_34_59_49_93_94_58_35_44_12_70_29_12_75_13_28_12_96_62_5,6,0.0028,[11.7556],0.0,0.0
genes_100_39_78_45_5_41_39_24_40_68_42_76_0_76_79_72_42_90_68_80_39_54_92_46_60_87_54_30_28_81_2_32_61,8,0.0029,[11.6705],0.0,0.0
genes_12_55_70_37_1_41_56_27_12_75_68_86_0_79_74_89_89_4_4_53_72_95_65_71_62_10_54_34_47_63_2_57_62,6,0.0028,[11.5422],0.0,0.0
genes_28_39_36_82_10_88_40_43_7_72_42_81_0_84_83_73_15_100_95_74_65_57_38_70_17_12_75_33_28_81_91_59_5,7,0.002,[11.4516],0.0,0.0
genes_8_11_72_56_7_14_39_44_24_43_47_76_0_49_88_89_52_67_4_42_75_95_36_29_24_8_54_33_39_0_100_58_62,7,0.002,[11.4515],0.0,0.0
genes_57_57_74_21_15_17_31_42_40_95_14_36_0_76_92_9_42_79_47_0_4_23_94_70_83_15_48_68_32_74_10_44_8,6,0.0027,[11.4332],0.0,0.0
genes_18_39_43_57_10_14_61_91_11_88_48_35_0_81_41_59_40_84_76_11_72_95_54_42_27_9_49_21_62_12_1_65_8,6,0.0028,[11.3109],0.0,0.0
genes_33_94_77_15_0_95_31_22_46_72_64_42_0_74_85_90_42_11_98_26_63_50_8_61_28_15_91_34_74_46_56_16_0,5,0.004,[11.1476],0.0,0.0
genes_9_11_77_53_20_38_58_43_29_93_94_81_0_49_46_89_52_56_96_45_44_95_40_41_22_86_75_27_53_0_2_58_61,7,0.002,[10.8975],0.0,0.0
genes_93_46_35_21_6_40_39_96_47_10_67_85_0_46_80_86_43_81_66_33_77_73_36_68_18_16_84_98_33_18_67_59_0,7,0.002,[10.8186],0.0,0.0
genes_21_94_28_99_6_38_48_34_4_90_77_35_0_81_46_91_43_84_96_21_22_95_60_42_47_35_45_15_65_7_3_16_54,7,0.002,[10.693],0.0,0.0
genes_82_50_6_25_2_73_37_86_40_85_44_89_0_79_77_71_49_54_94_10_35_15_25_19_44_14_48_34_52_39_4_44_4,7,0.002,[10.5878],0.0,0.0
genes_24_55_37_24_0_40_52_34_42_94_77_81_0_26_93_91_52_100_94_75_35_42_40_75_17_16_71_33_33_9_3_94_59,5,0.004,[10.4767],0.0,0.0
genes_100_54_77_48_9_21_25_64_56_13_71_37_0_76_53_14_40_81_93_53_84_23_62_36_28_87_18_13_37_39_68_73_66,7,0.002,[10.2396],0.0,0.0
genes_69_45_74_29_7_14_31_94_9_12_44_80_0_76_92_68_36_100_62_56_81_57_90_36_22_87_51_34_27_39_3_44_2,8,0.0016,[10.0371],0.0,0.0
genes_44_39_71_46_7_33_37_42_44_90_43_41_0_75_77_71_49_54_62_56_86_59_91_70_18_87_49_34_31_81_1_44_6,9,0.0025,[9.9201],0.0,0.0
genes_82_50_6_51_34_62_59_22_47_32_42_56_0_36_56_86_96_62_68_84_83_34_91_19_69_91_78_27_52_39_4_68_2,7,0.002,[9.8007],0.0,0.0
genes_33_47_36_45_10_38_3_94_5_72_61_80_0_86_46_31_42_95_14_75_39_27_8_63_22_12_29_15_62_73_5_65_0,9,0.0024,[9.5848],0.0,0.0
genes_43_79_79_53_10_67_61_25_11_12_42_81_0_44_34_86_85_85_34_56_94_95_61_70_74_15_54_33_28_81_2_44_5,8,0.0016,[9.536],0.0,0.0
genes_93_55_59_20_13_38_39_27_7_49_43_85_0_70_83_89_42_40_91_75_63_0_65_68_69_16_84_100_62_18_4_65_0,9,0.0012,[9.4812],0.0,0.0
genes_100_11_82_45_0_25_54_21_55_13_42_81_0_76_81_89_42_64_93_75_39_19_92_94_60_15_93_30_28_79_100_32_77,8,0.0007,[9.4575],0.0,0.0
genes_93_11_77_45_10_88_41_43_11_70_42_83_0_43_34_31_49_95_99_75_39_57_61_70_60_82_69_33_47_81_96_44_57,9,0.0012,[9.1861],0.0,0.0
genes_46_11_74_10_7_38_54_86_29_96_37_37_0_49_84_68_49_100_62_47_33_57_40_41_21_36_75_50_34_16_62_46_87,8,0.0016,[9.1643],0.0,0.0
genes_9_55_81_45_8_17_57_59_24_94_43_33_0_46_36_8_96_86_22_1_35_68_90_68_15_85_91_27_77_0_1_7_62,8,0.0016,[8.6987],0.0,0.0
genes_99_62_75_53_10_14_58_17_42_91_15_81_0_49_46_89_92_88_70_42_84_25_66_29_22_85_93_27_39_19_2_59_60,10,0.001,[8.519],0.0,0.0
genes_38_11_57_98_11_13_39_44_40_68_43_76_0_46_59_89_49_64_4_75_70_95_40_68_24_9_54_33_33_71_100_33_62,7,0.002,[8.5148],0.0,0.0
genes_43_47_79_51_10_94_41_43_11_32_40_97_0_44_34_69_47_89_66_56_95_54_43_34_15_14_54_11_28_81_3_59_5,11,0.0015,[8.1803],0.0,0.0
genes_4_60_34_51_3_12_39_83_9_12_43_81_0_81_34_89_49_84_65_75_72_95_60_63_15_100_51_11_28_81_70_18_0,9,0.0012,[8.0866],0.0,0.0
genes_100_60_40_50_0_38_60_17_42_91_82_76_0_77_54_58_92_85_78_1_70_25_62_75_80_10_82_13_66_67_8_59_8,8,0.0016,[8.086],0.0,0.0
genes_98_46_31_48_10_62_48_24_45_91_9_81_0_70_87_88_46_89_94_50_89_39_35_39_35_19_82_11_42_71_4_59_62,8,0.0016,[8.0638],0.0,0.0
genes_97_81_34_60_12_38_25_95_7_72_43_38_0_26_80_24_46_54_88_13_5_45_8_36_28_59_86_39_92_39_3_59_57,8,0.0016,[7.8463],0.0,0.0
