genes_62_61_100_26_49_10_44_69_31_88_57_91_34_35_97_29_72_95_53_52_51_53_46_60_17_90_78_29_79_4_97_68_41_1_37_71_98_25_100_54_65_85_77_77_69_47_52_8_26_71_13_25_17_17_67_90_3_82_15_5_11_85_53_65_12_95_80_83_33_56_24_72_20_48_3_86_60_25_8_57_86_77_80_95_51_48_31_98_71_31_90_91_29_44_85_9_58_89_73,8,0.125,17.5,0.0722,32.9492
genes_18_64_90_4_56_2_76_76_82_87_39_97_36_94_93_28_69_30_52_24_64_69_43_59_47_37_76_28_90_7_96_7_26_0_66_0_98_23_100_54_74_78_71_77_69_69_56_72_22_15_6_31_7_6_67_90_55_49_69_44_25_19_56_60_53_91_61_87_7_35_11_7_22_48_70_63_55_33_51_24_86_75_55_51_41_84_78_45_73_6_78_91_43_100_83_15_58_93_76,8,0.11,16.0,0.1032,120.366
genes_41_68_92_22_56_2_51_50_82_89_41_93_33_4_72_28_79_37_49_22_65_74_58_29_39_57_99_58_62_4_95_9_21_1_62_1_89_30_43_54_43_81_71_77_91_49_53_86_30_93_13_20_35_86_64_87_46_8_14_17_25_43_31_59_74_100_64_85_38_73_11_12_22_46_49_60_52_25_97_93_86_84_83_55_48_84_78_45_70_55_78_76_55_100_87_9_58_89_76,8,0.11,16.0,0.1029,135.3019
genes_65_62_88_57_53_10_30_72_47_88_58_94_71_84_97_26_69_91_50_31_65_74_91_60_17_84_81_58_27_4_97_89_1_1_15_74_89_25_100_59_65_77_74_69_59_47_32_92_26_38_13_26_12_80_94_87_46_3_100_1_22_85_53_67_74_100_80_91_33_0_16_44_31_49_3_86_60_29_21_71_86_74_54_18_51_88_31_98_73_67_87_79_25_57_87_9_58_89_76,8,0.1087,15.875,0.1082,145.5154
genes_62_58_100_65_63_2_76_72_31_88_57_92_34_35_63_29_73_92_53_32_69_53_46_59_47_90_12_56_79_92_100_13_21_30_33_71_98_26_100_54_65_85_75_77_69_44_52_81_4_71_60_35_35_17_67_43_3_84_100_17_11_85_53_65_12_91_85_83_24_75_11_72_20_48_86_39_56_28_25_28_86_77_80_95_51_51_91_46_71_67_90_86_28_44_85_15_74_89_76,8,0.1075,15.75,0.1086,128.7075
genes_62_64_100_67_56_2_90_53_31_87_92_91_34_35_64_27_73_34_53_25_69_53_55_59_39_90_12_79_62_92_100_14_50_30_41_71_89_26_43_54_74_81_60_77_69_47_47_95_29_93_13_35_14_86_67_32_46_8_100_41_11_59_53_65_82_91_85_53_38_72_11_69_20_48_86_39_56_25_25_28_86_82_80_55_48_84_91_45_70_65_90_76_55_89_87_5_58_89_74,8,0.1062,15.625,0.109,146.5331
genes_41_68_92_84_10_12_51_85_34_88_41_100_69_34_93_19_69_95_54_19_65_53_91_37_34_62_99_59_62_7_95_13_16_45_67_71_98_30_98_54_74_81_75_43_72_48_68_86_35_91_13_20_32_82_64_90_46_0_100_17_25_16_31_60_72_100_64_48_7_54_16_12_22_48_70_56_60_0_25_64_82_81_55_84_49_89_80_45_71_69_78_6_94_100_87_12_38_53_0,8,0.1167,15.5,0.1091,116.893
genes_37_61_94_65_64_52_76_76_35_81_40_94_74_94_88_29_77_91_46_19_65_69_50_57_38_62_76_12_92_92_100_24_1_1_41_5_99_28_47_75_65_47_74_75_70_47_55_100_33_91_23_25_35_80_67_90_46_0_9_5_3_13_53_61_74_91_34_87_32_72_16_49_32_48_66_39_57_32_92_28_85_72_38_97_51_87_31_53_74_79_90_72_25_100_57_53_91_57_76,8,0.105,15.5,0.105,122.1061
genes_18_62_88_4_57_2_76_73_82_90_40_98_89_35_97_40_69_95_52_21_64_54_54_59_47_35_76_23_62_7_100_13_48_0_63_71_98_23_100_58_65_79_79_77_87_87_57_84_22_88_6_35_6_80_94_90_55_49_70_42_25_19_56_61_75_91_64_87_7_70_11_19_34_48_87_63_16_28_25_24_86_75_55_55_41_84_77_48_64_62_74_13_41_57_88_15_58_90_76,8,0.105,15.5,0.1089,116.2019
genes_62_65_96_70_63_2_76_77_35_85_73_91_34_93_88_29_73_91_50_32_69_53_46_55_38_90_12_58_79_92_100_91_21_30_41_71_99_25_100_75_36_50_72_77_67_47_52_100_0_71_60_40_14_17_67_90_58_82_81_5_0_13_91_61_12_91_34_87_24_75_11_72_20_48_66_15_60_28_25_32_85_77_42_97_51_48_91_46_67_79_87_72_28_40_85_56_54_99_76,8,0.0963,14.625,0.1043,125.8795
