Genes,GamesPlayed,RelativeFitness,AbsoluteFitness
genes_6_12_27_82_11_3_71_22_54_60_72_79_46_81_73_0_41_64_5_100_40_11_30_12_15_73_18_23_37_98_27_90_28_62_79_57_45_40_3_66_13_32_33_82_72_26_88_92_89_49_39_75_20_54_49_59_40_15_72_36_99_86_98_78_70_94_89_67_15_21_90_33_78_32_12_35_7_85_49_89_29_12_78_33_14_95_91_17_26_9_100_72_92_94_43_77_51_54_10,0,0.0,0.0
genes_6_7_21_57_81_50_93_20_57_33_50_74_43_73_72_3_74_58_79_16_40_23_33_90_11_80_17_43_35_99_27_90_28_61_84_61_18_43_7_65_66_81_2_31_98_26_38_90_91_49_50_79_22_54_51_64_40_6_77_37_80_82_99_76_69_94_54_3_17_37_90_38_86_32_1_10_2_15_59_30_28_12_79_44_14_93_90_15_21_4_99_72_89_88_45_86_54_49_45,0,0.0,0.0
genes_49_7_22_37_84_50_61_45_79_71_74_79_46_73_70_0_85_58_6_98_27_24_33_90_16_79_70_43_39_94_30_90_49_64_79_28_10_70_0_67_34_73_7_65_33_26_42_47_96_54_41_79_20_13_14_41_38_6_78_10_80_88_93_78_32_38_89_0_82_37_97_100_78_32_34_12_11_85_85_30_28_15_78_40_14_6_21_15_28_4_93_68_95_88_45_86_51_53_8,0,0.0,0.0
genes_49_7_23_82_49_22_50_20_79_67_73_75_48_93_77_85_88_58_5_21_40_21_32_86_16_85_70_43_37_94_30_90_50_64_22_62_10_70_32_66_33_73_34_67_99_22_38_47_96_49_41_80_20_15_7_41_40_4_74_37_97_86_92_78_32_38_56_8_17_38_90_32_78_36_1_12_0_56_62_89_28_15_78_40_14_6_21_18_28_9_93_70_95_90_45_86_51_53_13,0,0.0,0.0
genes_49_7_21_57_84_50_66_40_62_33_72_79_46_73_70_0_81_58_5_98_40_16_33_61_11_79_70_55_39_94_26_88_51_64_79_28_10_70_7_67_34_78_2_65_0_26_37_90_94_54_34_79_22_7_50_64_35_6_78_37_80_63_95_78_32_94_1_0_82_82_100_99_78_32_1_28_2_85_85_27_28_15_78_40_14_38_90_17_28_9_93_67_95_88_45_86_53_52_8,0,0.0,0.0
genes_14_87_23_57_49_22_50_20_62_33_78_77_45_72_74_85_73_49_3_20_40_23_30_86_11_80_68_46_39_94_30_26_71_63_22_61_26_55_27_63_34_73_34_41_100_26_38_64_90_49_44_80_20_54_8_59_40_10_74_8_97_82_92_78_69_94_50_8_17_21_90_32_78_32_16_32_0_56_62_89_28_35_78_40_14_95_91_15_29_9_94_72_84_80_44_86_54_49_8,0,0.0,0.0
genes_17_7_23_57_81_50_50_40_62_57_50_78_43_73_75_0_90_49_79_16_40_23_33_26_11_85_17_42_37_40_26_90_28_64_22_62_18_98_7_67_37_81_2_41_99_26_37_90_91_54_46_74_20_14_51_42_40_10_78_37_97_86_92_76_26_94_56_8_82_37_90_99_86_32_1_30_2_56_58_30_28_35_78_40_14_95_90_17_21_9_93_72_92_80_45_86_54_38_99,0,0.0,0.0
genes_14_87_22_56_49_20_61_20_66_57_73_79_43_92_74_89_88_49_5_20_40_23_32_90_11_85_68_23_37_97_34_40_66_64_22_62_49_69_32_66_34_73_34_41_99_26_38_47_96_50_46_80_20_13_5_44_40_10_100_37_97_86_92_76_31_94_56_8_17_21_90_38_78_32_1_30_4_56_58_89_31_35_83_39_14_95_21_18_24_7_93_69_95_80_45_86_54_38_13,0,0.0,0.0
genes_49_7_16_82_81_50_61_40_79_67_50_78_43_73_72_0_88_58_79_98_38_21_33_62_16_79_70_42_39_94_30_94_28_64_81_28_18_70_7_67_34_81_2_65_33_97_37_47_90_54_41_74_20_13_51_64_38_6_52_37_80_88_93_78_32_38_55_0_82_37_97_100_78_32_1_28_2_85_85_30_26_12_79_40_14_51_19_17_21_9_82_73_91_88_45_86_57_53_8,0,0.0,0.0
genes_14_8_21_57_81_26_6_20_62_33_50_78_63_74_74_24_85_49_79_16_40_17_33_62_11_80_68_42_39_94_27_90_28_64_22_35_18_70_32_67_19_81_36_41_100_26_39_90_90_49_50_74_22_58_13_59_40_9_78_6_80_61_92_78_70_94_55_29_12_37_90_38_81_29_1_28_2_15_62_87_26_7_79_40_14_93_91_15_21_9_99_76_89_88_44_80_53_49_98,0,0.0,0.0
genes_17_8_23_57_49_26_9_25_62_57_73_77_67_93_74_85_74_49_81_20_40_23_30_90_28_80_71_23_37_94_27_26_66_64_22_61_47_43_32_66_31_77_36_41_100_26_38_59_90_49_56_79_22_54_7_59_44_10_79_6_97_82_92_81_32_94_54_8_12_35_90_32_81_32_16_10_47_80_62_87_28_35_78_40_14_95_17_18_33_6_93_72_95_97_45_86_54_49_45,0,0.0,0.0
genes_6_40_25_57_81_50_88_40_62_33_50_78_43_93_72_0_88_61_79_16_40_16_33_62_11_80_17_42_35_94_26_38_28_64_22_31_19_35_7_67_66_81_7_41_100_26_37_90_86_54_34_76_20_54_51_64_40_6_78_37_80_58_95_71_69_94_53_30_87_37_100_99_78_29_5_10_2_80_86_30_26_12_78_39_14_77_90_17_21_6_82_67_89_88_45_86_53_49_99,0,0.0,0.0
genes_12_87_81_90_49_22_61_20_62_57_73_75_43_93_75_85_88_56_3_20_40_23_32_90_11_77_42_23_38_97_30_35_61_64_77_62_49_69_0_63_18_77_34_41_100_21_38_64_96_51_41_80_20_13_5_41_40_10_74_37_96_86_97_76_31_94_56_29_17_21_90_42_78_32_1_30_4_61_58_89_28_35_83_40_14_95_21_18_24_9_93_72_89_80_45_86_55_43_13,0,0.0,0.0
genes_10_8_18_57_81_22_9_40_62_33_50_77_43_93_72_0_85_54_8_98_40_16_46_62_11_79_17_38_33_27_30_40_28_63_43_28_49_69_0_67_66_77_37_41_100_26_37_90_97_54_34_76_20_13_5_41_40_15_79_37_80_86_97_76_69_94_51_34_82_21_100_99_81_32_1_79_2_56_58_30_26_35_79_39_10_51_21_13_24_9_82_70_95_88_45_5_51_52_99,0,0.0,0.0
genes_22_96_25_57_81_50_59_20_64_33_50_78_67_93_74_89_74_56_13_16_40_16_30_62_10_89_17_43_37_94_29_40_28_64_20_31_47_70_7_80_66_77_13_41_100_26_38_90_93_54_50_74_20_55_51_56_40_6_82_37_93_89_95_76_69_94_55_25_82_29_100_39_78_32_16_8_49_85_85_87_28_12_78_39_14_51_90_15_19_8_97_70_95_97_77_80_53_49_99,0,0.0,0.0
genes_14_8_21_57_76_23_61_20_62_33_70_77_43_93_74_85_88_49_8_98_40_23_30_90_11_78_68_23_39_97_27_40_66_63_75_28_47_69_32_63_18_77_37_41_100_21_38_47_90_53_41_76_22_54_5_44_40_6_77_41_97_86_92_78_69_94_54_29_17_26_90_38_78_32_1_10_49_56_62_89_28_35_83_40_14_95_91_15_24_6_100_72_91_97_44_84_54_49_67,0,0.0,0.0
genes_21_8_25_1_84_26_6_20_57_33_72_77_67_72_74_85_74_49_81_16_40_23_30_95_11_82_68_23_37_94_27_40_48_63_22_60_49_43_3_65_15_82_36_41_100_26_34_90_93_49_50_79_22_54_8_59_40_6_3_37_97_80_90_78_69_94_54_29_82_32_100_38_78_32_16_10_12_85_62_87_28_12_78_33_14_95_90_20_24_9_99_72_95_97_77_80_54_53_99,0,0.0,0.0
genes_49_3_22_57_84_26_60_20_60_67_73_77_64_72_70_0_85_49_81_98_27_21_33_90_16_80_70_43_39_94_30_47_51_63_22_61_47_43_0_67_39_73_2_41_33_27_34_59_90_54_50_79_22_13_12_59_38_6_78_6_80_82_92_78_32_94_89_0_82_21_90_38_81_32_34_10_11_85_85_87_28_15_78_40_14_6_21_17_28_4_93_72_92_88_45_80_54_53_45,0,0.0,0.0
genes_6_39_21_57_49_50_50_20_62_30_50_75_43_75_75_85_85_49_3_16_99_23_33_84_11_79_17_42_37_40_30_26_66_64_43_62_18_70_7_66_31_81_2_41_99_26_38_90_94_54_34_74_20_13_51_64_40_6_74_37_85_92_92_76_31_94_56_8_17_37_100_29_86_32_1_28_0_15_86_30_26_12_79_40_14_51_66_17_21_9_82_73_95_80_45_86_53_47_99,0,0.0,0.0
genes_17_87_68_82_49_22_66_22_62_57_52_83_43_93_73_85_85_64_3_100_40_23_68_95_11_85_68_21_37_94_30_26_66_62_22_31_45_65_37_68_19_73_33_41_72_26_38_64_96_59_87_80_20_13_53_59_40_10_72_36_97_86_98_76_75_94_56_3_17_42_90_32_78_32_1_30_0_80_45_9_28_35_100_35_14_11_95_18_28_9_93_72_95_94_45_80_54_38_11,0,0.0,0.0
genes_17_8_23_57_49_3_50_20_62_39_73_72_48_96_79_85_88_49_3_100_40_23_32_90_11_81_68_23_37_94_32_26_66_64_79_57_28_63_35_66_34_25_34_82_99_26_38_92_92_49_46_74_22_13_10_8_40_10_45_40_97_86_92_78_36_94_60_8_15_37_90_32_78_32_16_37_52_85_62_85_29_12_78_35_14_95_37_17_17_9_99_74_91_97_45_86_54_38_10,0,0.0,0.0
genes_44_7_23_82_49_22_46_40_62_57_73_79_46_93_75_0_88_63_3_98_40_21_33_90_16_84_68_46_39_94_31_26_66_64_79_62_9_69_0_67_34_73_2_66_99_26_59_47_96_44_41_79_20_13_7_42_38_6_78_37_97_88_93_76_32_94_89_8_82_37_97_100_81_32_1_30_0_85_62_30_28_35_78_38_14_95_21_18_28_9_93_72_95_80_45_86_51_38_8,0,0.0,0.0
genes_21_8_19_57_49_26_5_20_57_67_73_79_67_72_74_85_41_49_81_47_40_16_30_61_11_85_74_39_37_94_27_44_66_61_22_61_49_40_7_68_46_65_2_41_100_61_83_51_94_48_50_74_20_54_14_56_40_6_82_6_89_82_90_78_10_94_59_28_82_32_97_32_78_32_5_83_12_85_61_84_29_10_78_33_14_11_50_18_24_6_99_72_95_88_77_80_53_53_8,0,0.0,0.0
genes_14_8_21_57_76_26_61_20_62_33_73_77_43_72_74_85_88_54_82_98_40_23_32_85_28_81_68_23_39_94_27_53_61_63_22_61_49_43_32_65_11_77_37_41_100_21_38_47_88_49_50_79_25_13_8_59_40_11_77_41_97_86_97_78_69_94_56_32_17_21_90_38_81_32_16_26_49_56_62_89_28_35_83_40_14_95_21_18_24_4_99_72_89_80_48_83_54_49_13,0,0.0,0.0
genes_17_87_25_57_49_22_50_20_64_33_73_75_43_93_71_51_74_52_6_16_43_23_30_62_11_85_17_45_37_94_30_30_28_61_20_62_19_35_32_68_66_73_13_41_70_64_38_91_96_49_46_80_20_54_7_42_7_10_78_37_89_89_95_71_71_94_55_25_17_23_37_29_78_32_5_10_49_56_62_89_28_35_78_40_14_2_90_15_28_8_95_64_89_97_44_86_54_49_13,0,0.0,0.0
genes_49_7_22_82_84_50_61_40_79_67_72_79_46_73_70_0_85_58_5_98_27_25_33_90_16_79_69_43_39_94_32_90_51_64_79_28_5_65_0_67_34_73_2_65_33_26_42_47_96_54_41_79_20_13_14_41_38_6_78_10_80_88_93_78_32_38_89_0_82_37_97_100_78_32_34_12_11_82_85_43_28_15_78_40_14_6_21_17_28_4_93_70_95_88_45_86_51_53_8,0,0.0,0.0
genes_17_87_25_82_49_22_93_20_55_39_73_75_48_93_72_0_88_49_10_100_40_23_30_90_12_85_68_46_37_94_27_72_66_64_17_62_26_65_32_66_34_73_34_41_98_31_38_92_100_49_46_74_22_5_7_8_40_15_73_40_97_86_54_76_36_94_61_8_17_33_90_32_78_32_16_35_49_56_59_89_28_35_78_15_14_95_23_17_17_9_99_72_92_80_45_86_54_54_16,0,0.0,0.0
genes_49_19_81_34_84_50_64_20_79_57_73_79_46_73_74_0_88_58_8_98_40_21_32_34_11_79_70_46_38_94_28_40_51_63_77_28_49_69_0_60_18_73_2_65_31_21_42_47_96_50_41_79_20_13_14_41_40_15_100_10_80_86_97_78_70_38_56_29_17_37_97_100_74_32_4_12_11_56_85_30_28_15_82_43_14_95_21_18_24_4_93_70_89_80_49_86_53_53_8,0,0.0,0.0
genes_21_12_25_57_48_26_50_22_62_33_73_83_43_82_73_89_86_49_8_100_40_25_37_90_11_75_68_46_7_94_30_90_25_65_22_62_26_39_32_68_19_32_34_42_99_26_38_8_89_59_46_43_20_12_7_59_40_15_72_36_99_86_88_76_70_94_56_10_17_37_90_32_78_32_1_30_0_80_49_89_28_12_99_35_14_11_21_18_28_5_100_72_95_94_43_86_54_38_11,0,0.0,0.0
genes_14_8_21_57_84_55_6_20_57_67_73_77_67_72_100_85_74_49_13_20_40_16_30_57_28_80_74_43_37_94_27_49_66_63_22_61_44_69_7_65_15_77_5_41_100_26_34_90_93_50_50_74_20_54_8_59_45_6_77_37_97_80_92_78_69_94_59_4_17_21_97_38_81_32_16_7_12_80_85_87_28_12_78_33_14_93_92_15_21_9_99_70_89_88_77_80_54_53_99,0,0.0,0.0
genes_21_8_21_57_81_50_93_40_57_33_70_79_43_73_74_85_41_58_77_16_40_13_33_62_11_79_17_42_37_40_30_90_66_64_22_31_49_65_7_80_66_77_2_41_100_28_38_90_91_50_50_74_20_7_51_64_40_6_78_37_97_80_94_76_69_94_59_4_82_37_100_38_86_32_1_8_0_85_86_30_26_12_78_40_14_95_87_18_21_9_82_73_95_27_77_80_53_52_99,0,0.0,0.0
genes_49_7_22_82_80_50_61_40_79_69_72_77_46_73_70_0_85_58_5_100_27_21_33_90_16_64_70_43_39_94_25_90_51_64_79_28_10_70_0_67_34_73_2_65_33_26_42_47_96_54_41_79_20_12_30_41_38_6_78_10_80_88_93_78_37_38_89_0_82_37_97_100_78_32_34_12_11_85_85_30_28_15_78_40_14_6_21_14_28_9_93_70_100_88_43_86_51_53_27,0,0.0,0.0
genes_49_87_25_82_84_50_93_20_18_67_72_79_45_54_74_0_41_49_10_98_24_21_30_90_16_81_18_43_37_94_27_72_51_63_79_57_10_70_0_66_13_73_34_82_70_26_83_47_96_54_41_79_22_5_14_8_38_6_78_10_80_88_54_78_32_38_89_29_15_21_90_32_78_32_34_12_11_85_50_89_28_15_78_35_14_6_90_17_17_9_93_72_95_97_45_72_54_53_10,0,0.0,0.0
genes_14_8_85_57_76_26_61_20_62_33_73_79_67_72_74_85_85_49_8_98_40_23_32_90_30_81_42_23_38_94_30_49_61_63_22_28_47_69_0_65_18_77_37_41_100_21_38_59_96_49_41_76_22_51_5_59_40_15_100_6_96_86_97_78_69_94_56_29_17_21_90_38_81_32_16_30_49_56_58_89_28_35_83_39_14_93_91_15_24_4_100_72_89_97_46_80_55_49_10,0,0.0,0.0
genes_14_8_81_82_76_22_61_20_57_39_73_79_48_93_74_0_88_49_8_100_40_23_32_89_11_81_18_14_37_97_27_40_66_63_77_23_45_68_0_63_13_29_34_82_35_26_34_92_92_49_42_74_22_5_5_41_40_15_78_37_96_88_54_78_69_94_60_30_15_21_91_38_78_32_1_30_4_56_47_89_28_16_83_39_14_95_90_18_17_4_99_70_89_100_45_81_54_43_13,0,0.0,0.0
