AgentType,RoundType,Scenario,PeepConstant,EnforceMajority,AverageUtilityNonCats,AverageUtilityCats,AveragePopularityNonCats,AveragePopularityCats
homoNewCats.csv,"['S', 30]",SelfPlay,0.6,False,71.25,65.0,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,0.7,True,23.0,23.0,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,0.7,False,74.3125,50.25,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,0.8,True,33.0,33.0,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,0.8,False,73.6875,52.25,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,0.9,True,40.125,39.5,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,0.9,False,70.0625,69.75,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,1.0,True,26.4375,24.25,NAN,NAN
homoNewCats.csv,"['S', 30]",SelfPlay,1.0,False,71.625,63.5,NAN,NAN
homoNewCats.csv,"['J', 30]",2NewKitties,0.0,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.0,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.1,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.1,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.2,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.2,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.3,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.3,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.4,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.4,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.5,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.5,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.6,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.6,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.7,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.7,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.8,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.8,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.9,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,0.9,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,1.0,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2NewKitties,1.0,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.0,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.0,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.1,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.1,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.2,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.2,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.3,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.3,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.4,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.4,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.5,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.5,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.6,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.6,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.7,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.7,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.8,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.8,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.9,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,0.9,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,1.0,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",2OldKitties,1.0,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.0,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.0,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.1,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.1,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.2,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.2,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.3,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.3,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.4,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.4,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.5,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.5,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.6,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.6,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.7,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.7,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.8,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.8,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.9,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,0.9,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,1.0,True,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"['J', 30]",SelfPlay,1.0,False,71.625,63.5,79.17258005595917,621.7885602718782
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.0,True,17.0,17.0,45.697053088330634,563.5912714778544
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.0,False,29.5,22.0,53.47413620851712,547.1205820954261
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.1,True,15.0,15.0,57.78081932790795,553.6632241198085
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.1,False,31.5,14.0,37.59171015437878,536.8696810545629
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.2,True,16.0,16.0,90.36057720946383,550.2091616051272
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.2,False,27.9375,28.25,81.97094092088466,552.3384509169671
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.3,True,17.75,19.0,93.97690724260872,523.7352635257964
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.3,False,28.375,26.5,95.48167565928935,540.8499342503314
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.4,True,16.0,16.0,45.67953751583304,556.3913263033954
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.4,False,29.875,20.5,68.8679519472723,543.9230941930136
homoNewCats.csv,"[4, 3, 3, 3, 3, 3, 3, 3, 3]",2NewKitties,0.5,True,15.0,15.0,39.93370205424887,550.8862124667919
