Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_83_52_62_49_47_33_2_41_90_83_62_30_79_80_26_32_16_55_49_9_43_12_54_55_3_24_33_71_99_28_43_94_14_14_91_26_59_80_18_90_84_63_71_32_94_51_43_15_51_36_9_33_21_47_31_96_60_43_23_89_45_20_66_89_60_12_66_11_56_35_40_42_28_57_68_40_35_28_5_28_79_80_93_38_66_44_77_37_31_18_60_12_69_64_70_79_68_72_53,1,0.1,7.0
genes_74_30_54_22_45_47_65_79_10_83_80_28_79_69_6_22_54_82_42_35_56_13_56_66_55_90_10_100_71_34_60_5_15_87_59_33_52_78_12_88_91_37_22_30_17_11_3_53_49_31_23_35_17_78_28_82_17_53_0_31_98_18_66_58_0_48_70_20_23_29_45_40_27_67_68_18_35_92_41_28_59_83_0_28_93_21_74_15_33_99_56_91_40_50_83_72_41_3_58,2,0.1,7.0
genes_84_65_49_29_17_32_84_39_8_66_72_27_79_28_18_40_25_55_30_63_84_12_27_55_60_27_6_44_86_30_25_3_33_48_77_26_61_85_16_99_82_67_53_67_97_8_45_3_87_31_16_43_20_11_29_61_18_48_57_88_91_63_40_16_2_63_69_72_56_77_40_87_32_45_100_30_76_43_45_12_74_94_97_5_98_7_90_84_37_26_51_48_64_35_73_82_100_38_33,1,0.1,7.0
genes_78_65_49_46_42_58_62_88_73_81_72_100_76_22_19_17_25_52_67_61_8_46_52_81_65_27_81_35_11_4_86_18_33_85_39_19_58_73_16_0_82_65_55_22_93_43_43_6_51_78_16_43_38_9_11_61_19_53_57_11_91_30_40_19_57_51_67_10_56_82_39_80_27_45_50_53_14_42_31_12_59_77_83_20_100_7_90_84_40_68_51_88_29_35_73_80_53_68_58,2,0.075,6.5
genes_78_48_54_51_42_32_63_39_86_68_75_100_81_19_29_24_99_55_48_63_8_46_52_66_69_38_36_44_86_34_86_18_100_21_32_26_72_85_31_0_82_18_63_22_93_43_19_6_84_57_16_45_22_3_11_61_22_45_57_11_91_58_69_94_96_67_6_23_56_29_39_89_6_43_7_29_14_90_30_100_76_72_0_22_66_16_90_86_40_18_48_50_39_35_12_78_40_38_58,2,0.075,6.5
genes_84_52_62_29_95_33_0_95_90_97_75_76_76_30_43_94_34_55_17_32_88_33_54_63_35_20_33_40_99_31_39_88_39_17_95_24_35_78_37_90_89_63_72_11_97_78_5_11_51_36_9_28_20_6_28_96_60_40_23_81_83_84_36_89_60_12_92_11_56_27_40_42_27_57_74_90_20_73_44_87_79_9_97_38_68_44_77_68_27_94_60_69_64_64_73_84_71_0_53,3,0.0667,6.3333
genes_100_64_54_64_45_30_3_69_86_73_75_25_76_73_27_62_29_17_48_63_8_5_53_61_83_38_7_44_63_26_88_67_100_60_32_26_72_83_39_86_82_18_53_34_22_49_19_14_21_57_14_37_21_6_29_98_52_62_62_63_81_90_69_7_100_67_9_23_54_72_39_42_6_33_32_29_82_46_31_100_76_11_46_6_66_16_76_22_98_31_51_54_39_100_73_73_40_38_29,2,0.05,6.0
genes_81_24_58_50_98_47_3_41_10_83_24_27_79_79_6_22_54_64_8_17_46_8_56_96_2_90_10_37_70_34_33_94_33_87_77_81_66_69_35_90_91_63_65_30_70_8_3_3_97_31_33_86_21_78_4_61_60_53_0_82_61_86_67_58_0_48_66_20_61_17_45_42_27_27_68_18_35_92_55_75_59_38_0_2_66_21_74_20_37_26_51_90_39_50_83_82_45_9_53,2,0.0,5.0
genes_31_57_80_49_47_30_56_12_82_8_87_7_77_75_27_69_87_55_53_24_9_79_44_61_3_17_38_38_9_10_98_93_36_12_63_85_67_75_66_90_84_46_56_38_100_35_14_18_20_31_89_87_21_10_6_9_91_41_62_10_83_89_1_68_90_51_5_49_57_95_47_69_49_34_55_63_4_93_29_100_72_80_68_18_68_20_75_37_36_32_51_78_14_26_83_28_92_1_47,1,0.0,5.0
genes_78_64_56_49_45_36_51_35_10_66_24_100_76_82_27_19_38_9_26_18_84_9_58_62_3_17_38_75_16_10_100_26_33_12_8_40_6_8_66_90_91_18_55_100_11_10_10_87_83_0_73_33_38_6_6_3_95_61_62_32_45_58_44_72_0_17_66_60_56_34_34_98_5_27_74_49_4_92_67_87_70_94_6_1_100_40_97_26_4_31_7_88_14_35_83_84_72_55_47,1,0.0,5.0
genes_78_70_58_24_45_94_0_70_59_82_80_30_39_79_6_17_39_61_60_19_10_49_47_55_83_19_56_75_96_22_59_16_12_28_67_46_42_69_66_90_82_8_46_100_17_10_3_5_7_54_83_20_26_94_77_31_97_85_59_90_56_62_66_68_3_16_61_6_13_94_37_95_24_57_55_53_54_33_69_28_77_11_1_2_66_46_73_12_37_18_65_98_39_39_68_49_45_1_54,1,0.0,5.0
genes_84_51_61_50_47_72_20_12_10_52_78_100_76_76_19_38_75_53_42_17_43_8_53_58_85_35_62_100_70_79_90_10_33_24_95_13_77_73_38_89_84_8_68_30_99_13_5_28_49_91_20_35_75_74_8_12_61_41_93_78_98_89_58_96_0_56_0_16_36_27_44_42_28_58_70_21_80_94_29_24_62_15_83_0_87_20_95_15_32_99_59_93_67_50_83_78_44_4_58,2,0.0,5.0
genes_97_29_61_67_45_85_26_11_73_66_68_65_77_78_13_40_25_64_30_65_86_20_55_81_60_25_30_31_74_19_85_92_86_64_77_26_61_75_70_82_86_65_53_4_17_21_43_3_100_81_89_41_21_8_32_9_18_33_57_91_40_58_74_95_47_5_69_14_54_77_94_89_27_45_2_21_25_43_67_12_76_56_83_42_100_7_3_84_25_31_69_49_51_35_59_31_100_35_67,3,0.0,5.0
genes_97_59_50_45_89_31_0_79_17_52_80_30_79_81_43_15_32_61_37_9_94_30_43_43_53_22_76_1_66_32_92_95_39_22_9_57_37_69_65_75_69_46_46_69_19_51_89_52_7_81_33_15_11_2_79_12_95_43_37_31_91_54_63_94_0_51_8_49_21_35_65_39_25_42_57_49_30_28_60_87_25_56_40_94_72_21_94_19_77_31_8_86_84_57_78_23_54_4_39,1,0.0,5.0
genes_78_57_52_24_53_52_94_100_85_69_1_27_88_38_95_38_51_61_30_21_80_52_56_59_53_20_26_42_30_22_90_23_33_68_10_84_70_94_69_85_84_42_50_4_97_44_9_99_14_28_33_34_39_10_34_13_95_87_0_74_47_21_66_68_73_16_35_60_15_81_71_85_26_64_12_21_87_42_69_98_59_94_72_24_100_21_84_19_95_68_69_11_67_26_10_82_82_42_39,2,0.0,5.0
