Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_6_48_73_56_46_33_32_27_44_86_96_18_52_81_95_19_7_21_79_14_84_0_83_52_59_38_47_78_54_93_84_54_70_80_54_85_36_45_29_75_11_52_56_19_92_68_13_29_37_12_59_98_79_27_45_0_12_73_51_36_64_61_17_80_96_99_78_74_29_78_78_76_55_18_44_100_48_96_58_74_68_24_29_97_32_65_45_73_56_30_28_86_55_62_0_79_28_53_43,2,0.0,5.0
genes_30_68_92_52_4_98_20_81_7_10_72_29_93_94_49_38_66_94_79_9_43_43_50_67_21_33_45_3_81_96_40_44_55_20_57_48_52_25_28_65_27_1_56_63_7_66_78_7_43_37_97_78_91_6_36_34_41_35_19_9_10_56_98_80_45_100_98_70_1_81_0_50_54_72_55_10_28_14_58_62_90_76_36_43_44_11_51_9_2_75_25_14_15_95_93_0_40_83_43,2,0.0,5.0
genes_87_69_51_30_93_16_27_23_8_82_4_39_85_97_95_54_26_20_59_90_71_57_11_100_82_91_47_80_41_97_98_31_52_97_22_65_75_25_71_57_59_92_61_67_53_23_45_30_76_67_70_100_71_45_63_53_20_25_80_21_81_61_81_20_67_69_82_81_36_31_38_91_22_76_36_15_43_21_92_72_6_91_42_42_55_70_44_87_26_55_3_100_22_38_31_76_82_38_14,2,0.0,5.0
genes_82_15_40_22_0_63_34_74_83_37_49_44_93_87_47_19_50_98_78_36_84_59_83_47_52_2_53_76_17_88_97_15_38_62_55_45_7_16_74_46_71_26_60_41_63_38_13_45_6_46_73_100_100_41_21_41_20_27_50_89_37_57_86_6_88_82_96_74_72_83_48_4_9_92_84_10_83_26_33_73_46_77_48_21_40_65_50_36_72_21_99_95_66_61_18_48_21_3_52,1,0.0,5.0
genes_7_45_94_30_23_63_13_98_69_57_49_29_78_90_95_84_50_60_89_90_73_85_8_24_54_87_20_66_77_90_100_47_19_99_11_19_21_9_64_27_56_92_0_54_8_66_7_81_41_84_98_99_43_45_53_53_2_67_47_88_56_56_4_71_37_8_35_55_36_68_44_8_83_73_1_80_1_69_24_74_41_79_28_93_39_81_50_76_96_88_82_23_25_69_39_21_29_67_87,4,0.0,5.0
genes_5_68_13_98_21_41_63_46_1_8_29_95_7_78_51_19_54_70_39_37_44_32_73_26_20_48_47_66_69_86_100_95_23_20_55_48_7_22_53_62_76_97_95_49_81_5_15_54_30_42_94_8_14_22_5_69_75_38_49_7_56_33_6_45_11_5_31_94_92_11_46_56_93_64_42_76_80_38_78_53_48_79_82_94_36_92_44_32_0_55_24_13_25_64_26_59_40_52_92,1,0.0,5.0
genes_82_15_48_9_0_41_78_23_2_74_81_11_93_87_54_20_7_17_83_15_35_73_9_55_51_47_23_33_52_88_27_53_70_38_43_32_70_20_56_49_59_1_2_81_45_37_13_16_34_91_16_49_71_7_67_42_98_70_26_42_87_28_27_92_86_26_34_76_88_83_86_90_37_69_7_10_80_55_19_48_63_76_3_12_55_80_86_48_46_27_86_38_4_84_45_48_25_91_77,1,0.0,5.0
genes_84_17_6_34_23_13_32_98_2_54_49_33_91_50_78_19_46_41_100_44_78_80_84_75_62_2_85_57_76_37_100_9_66_51_57_85_21_9_7_13_96_56_8_48_10_66_45_30_74_7_62_32_65_43_65_85_9_70_83_36_92_63_22_53_86_94_35_82_37_78_88_69_36_18_44_8_48_28_63_85_17_79_40_93_30_68_49_87_66_76_67_0_76_57_0_42_2_91_30,2,0.0,5.0
genes_35_15_76_98_91_38_62_81_2_10_82_18_12_80_81_19_70_0_85_36_29_36_73_99_76_45_0_54_79_24_27_34_34_81_31_29_69_21_29_4_81_92_57_49_28_63_23_15_36_35_7_32_19_68_64_42_95_70_28_0_64_56_96_64_30_94_31_74_23_74_20_46_92_68_55_98_56_100_49_97_16_79_34_43_37_45_49_91_64_67_47_38_53_59_79_79_20_86_24,1,0.0,5.0
genes_5_15_39_98_14_38_15_81_2_70_32_18_64_60_74_79_26_21_85_37_44_57_68_99_74_44_62_76_54_69_11_34_28_38_17_29_7_61_64_36_8_66_55_45_28_10_13_15_74_45_69_32_86_2_92_51_87_38_28_42_90_63_48_64_85_5_31_74_90_74_30_50_92_85_55_77_97_54_76_73_46_24_85_38_70_35_49_95_72_45_42_7_26_21_79_3_67_86_77,2,0.0,5.0
genes_87_17_94_30_33_74_41_98_2_81_38_82_3_53_46_19_46_20_78_42_83_57_14_61_96_4_29_72_65_16_10_31_67_9_55_17_76_64_94_22_71_28_0_44_74_7_56_81_63_19_80_96_12_43_62_46_42_67_16_53_74_55_1_47_67_56_83_16_88_92_26_32_60_14_52_95_26_4_53_74_64_91_33_43_99_19_1_28_21_46_27_23_54_41_13_11_29_58_87,3,0.0,5.0
genes_7_48_9_98_23_51_62_68_1_63_40_43_3_78_93_84_7_21_11_84_71_85_8_24_94_36_80_69_33_12_7_31_55_18_47_26_69_20_38_23_74_23_4_62_73_60_12_45_76_37_95_88_68_68_62_89_20_12_76_36_56_50_63_26_7_72_98_52_36_83_100_76_34_65_42_39_98_38_63_75_9_21_31_94_100_82_58_53_50_29_82_100_25_24_5_59_70_93_92,1,0.0,5.0
genes_35_18_92_51_0_74_62_98_3_40_49_56_5_94_30_14_73_93_4_49_51_94_14_27_69_0_24_45_23_11_40_44_68_35_25_91_42_87_66_30_6_97_49_66_73_38_62_28_33_0_77_32_71_29_63_53_22_16_38_100_36_26_40_68_3_19_38_85_69_7_34_67_22_94_73_84_38_21_90_34_26_75_0_43_37_95_66_99_71_72_37_14_50_19_60_36_21_36_90,2,0.0,5.0
genes_40_85_95_55_93_16_57_27_1_72_5_33_52_85_46_78_7_57_83_37_28_57_95_50_100_97_52_80_41_24_51_31_25_81_22_98_91_57_11_4_72_52_79_45_41_65_45_29_76_58_70_13_10_3_63_7_20_70_97_21_10_61_17_20_91_64_48_91_1_77_41_74_28_68_12_15_83_21_53_72_69_79_40_42_96_45_66_73_2_55_4_80_54_64_31_79_65_38_14,2,0.0,5.0
genes_56_52_48_24_91_100_3_27_2_82_35_91_7_89_43_78_54_93_83_87_40_57_11_75_38_51_12_39_70_97_40_47_71_62_21_42_69_9_40_71_8_53_76_66_4_7_7_45_76_6_3_80_71_95_58_55_6_38_22_88_79_50_94_45_84_69_33_23_1_21_53_51_40_76_73_15_53_95_87_74_6_75_1_32_55_74_66_55_73_0_22_28_22_86_34_80_68_36_92,1,0.0,5.0
genes_35_68_92_56_4_74_60_81_7_10_49_90_93_94_49_38_66_93_4_5_43_94_50_67_21_33_24_3_70_100_40_31_68_20_6_48_3_87_70_65_12_97_79_86_32_5_42_7_36_42_76_36_71_29_7_46_12_38_19_14_36_61_40_80_45_82_31_85_92_10_26_67_22_13_73_10_98_14_90_34_17_86_37_43_95_95_66_53_2_38_13_14_59_19_93_40_40_36_77,1,0.0,5.0
genes_87_45_92_98_91_68_62_72_22_54_49_52_7_89_70_16_1_93_83_83_71_61_8_70_51_47_9_36_69_19_40_62_91_34_21_9_28_9_40_9_38_91_44_82_78_49_7_30_65_5_5_49_19_95_62_4_20_22_12_88_98_61_94_71_2_94_38_73_47_24_53_51_93_99_73_15_79_19_19_48_1_24_84_32_55_74_81_51_28_55_4_15_47_42_75_80_40_50_35,1,0.0,5.0
genes_3_10_73_56_57_16_17_22_28_82_49_53_85_81_46_54_6_25_25_42_26_70_87_75_92_38_52_74_41_24_51_66_52_26_22_65_91_25_71_71_72_95_56_55_87_23_21_29_76_12_59_13_74_27_59_9_44_27_0_26_79_61_17_20_82_99_78_21_1_55_78_6_90_18_44_5_45_21_58_74_100_75_42_42_55_70_45_58_61_55_45_100_22_62_31_76_55_38_14,1,0.0,5.0
genes_3_15_77_98_0_46_32_98_1_54_7_33_2_87_54_76_5_21_100_0_78_81_17_53_16_32_72_33_55_33_11_50_51_87_55_66_21_93_24_4_0_49_33_44_77_66_15_17_41_10_67_17_71_44_26_5_87_89_91_84_89_6_88_10_1_98_98_76_1_83_94_64_4_18_43_9_48_56_58_69_68_76_32_12_40_20_49_9_46_71_22_6_50_62_0_48_21_99_77,1,0.0,5.0
