Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_56_44_7_49_18_17_50_75_1_65_32_87_5_93_83_12_68_96_81_37_43_74_34_67_19_35_65_11_84_100_46_29_22_46_12_21_65_92_49_69_55_100_97_49_71_66_10_3_75_37_68_99_100_38_40_44_8_36_6_17_38_75_86_80_38_90_98_90_45_76_36_42_80_63_57_4_0_55_21_26_95_75_80_55_36_75_24_90_69_40_93_9_52_62_44_17_21_69_95,1,0.0,5.0
genes_38_61_78_51_92_86_59_44_99_45_34_38_49_73_26_61_99_98_83_5_30_61_14_67_73_79_22_81_70_4_40_31_22_9_13_26_25_27_65_67_8_100_99_0_49_71_47_13_64_73_98_95_96_25_38_0_37_69_31_28_37_35_100_42_100_89_95_94_1_88_23_4_53_96_8_4_50_95_87_24_19_69_71_43_54_2_53_53_51_46_41_34_64_14_30_72_51_100_38,1,0.0,5.0
genes_29_44_7_100_49_88_50_37_12_62_32_87_99_87_21_41_63_23_80_91_80_74_14_65_19_71_53_30_84_91_51_29_20_51_78_91_28_92_59_26_36_98_94_11_67_1_10_55_77_41_69_97_70_35_62_44_37_34_33_36_13_15_86_47_38_71_79_90_50_1_54_54_29_33_57_42_76_16_21_89_15_75_53_22_39_65_28_82_57_86_27_57_62_62_44_39_15_72_38,3,0.0,5.0
genes_4_45_69_51_83_87_34_80_1_62_78_37_100_92_3_73_77_23_53_9_30_74_34_20_92_78_79_32_20_100_4_42_25_65_81_49_87_89_20_69_32_56_70_46_33_48_30_54_64_42_95_32_47_40_40_86_10_41_21_73_38_75_42_56_45_97_27_100_46_85_83_4_25_94_39_15_94_14_51_76_22_73_92_91_48_18_50_87_69_47_74_9_19_19_46_48_46_100_31,1,0.0,5.0
genes_77_44_7_39_48_87_50_93_12_39_32_92_99_87_58_73_66_1_80_30_43_73_8_24_19_35_19_0_84_91_50_36_25_46_78_25_27_22_49_61_8_85_70_86_46_88_10_43_7_37_91_100_100_38_67_44_85_34_46_84_10_15_82_78_38_91_98_90_29_1_47_63_92_63_7_17_93_94_53_94_55_75_43_91_31_65_85_90_0_80_27_57_25_62_44_17_21_76_31,1,0.0,5.0
genes_5_40_73_51_23_18_64_83_53_9_90_38_94_97_89_65_77_88_82_82_33_45_44_67_56_49_53_91_97_96_100_62_91_87_60_48_15_19_11_85_22_66_75_85_32_18_12_27_52_47_14_32_61_28_63_18_87_68_0_8_41_30_89_51_54_3_88_37_49_83_2_1_54_78_20_41_83_11_16_62_19_71_76_46_65_94_49_85_23_80_24_0_22_86_1_19_55_59_26,2,0.0,5.0
genes_12_68_10_100_14_30_33_93_0_87_86_92_5_9_20_37_69_98_84_0_37_72_84_24_97_44_24_11_44_15_98_18_64_51_40_19_29_12_44_36_26_60_56_36_1_6_15_15_16_22_83_98_87_38_47_95_26_45_0_70_83_13_90_78_45_85_83_13_1_78_60_79_92_92_66_5_84_83_84_98_8_71_40_83_88_65_99_53_63_43_23_14_27_28_46_35_62_50_99,1,0.0,5.0
genes_42_93_76_59_31_79_66_64_9_37_78_86_20_32_59_19_61_38_10_0_33_21_26_78_22_36_55_76_86_48_40_68_66_0_47_11_40_61_20_85_70_47_9_46_66_5_3_14_73_37_95_100_100_71_20_21_35_27_9_11_80_61_94_52_100_5_98_13_10_16_0_33_92_96_35_45_9_57_92_75_94_61_32_43_72_29_45_68_72_37_97_14_21_29_46_15_46_53_94,2,0.0,5.0
genes_32_90_26_100_3_86_35_37_0_60_85_41_16_20_78_29_63_18_83_88_32_64_50_67_66_9_41_86_20_48_9_62_22_87_12_47_89_87_55_67_23_47_94_65_49_53_87_37_58_37_98_20_38_71_67_46_5_72_70_24_10_56_11_47_11_64_91_2_41_18_84_61_53_92_8_38_95_95_21_74_19_76_31_43_36_25_46_85_47_75_6_83_62_19_53_44_19_57_89,1,0.0,5.0
genes_32_85_9_57_53_86_51_89_2_45_44_40_16_5_98_68_59_62_83_4_31_45_4_33_59_9_78_88_72_16_7_6_70_18_60_47_7_19_48_42_8_30_94_47_14_10_47_13_58_66_72_97_100_74_67_51_66_45_51_21_10_7_97_79_100_78_95_2_37_18_24_54_49_78_40_76_98_14_21_53_18_74_26_91_65_44_46_74_7_79_100_49_29_17_30_79_17_57_45,1,0.0,5.0
