Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_41_24_25_45_25_9_35_23_67_51_48_90_94_75_16_77_83_18_61_39_33_37_51_61_100_65_0_84_71_91_86_18_76_62_32_100_9_87_5_72_19_46_92_66_2_29_85_11_93_19_59_67_55_59_84_52_28_83_48_17_35_32_51_56_14_1_7_57_62_44_44_30_59_91_19_23_77_100_20_41_88_93_93_22_80_50_55_37_68_88_94_60_34_67_82_22_1_95_93,1,0.25,10.0
genes_22_0_86_47_15_17_27_13_98_37_38_92_69_78_83_26_4_21_7_4_34_19_29_57_16_65_8_43_52_92_85_20_86_97_40_62_7_90_0_72_15_100_77_25_8_61_87_16_70_66_29_15_77_11_41_11_33_23_49_92_59_13_10_55_7_16_4_28_16_45_94_49_59_22_64_35_81_25_82_98_20_71_92_67_46_23_77_21_38_37_13_82_76_42_53_33_0_5_25,1,0.15,8.0
genes_24_81_42_69_30_84_32_28_77_40_61_94_67_18_87_3_25_17_59_4_88_19_48_61_81_28_78_40_16_77_29_73_86_12_21_62_69_69_0_69_77_88_77_22_8_26_41_15_93_71_97_8_58_48_42_44_15_13_58_92_62_34_29_53_12_80_2_71_34_45_73_35_54_22_47_85_74_89_9_16_23_73_47_91_42_100_36_28_46_32_59_80_39_89_55_61_15_98_38,2,0.125,7.5
genes_25_24_25_62_15_9_30_14_78_54_60_86_58_87_16_77_83_19_59_43_50_31_51_14_56_65_79_12_71_90_86_100_10_27_20_66_9_83_5_72_91_43_48_48_19_70_37_19_93_12_39_67_28_31_50_48_28_22_92_50_36_14_51_56_27_28_7_57_55_92_40_54_54_86_19_69_86_98_0_41_15_96_98_21_43_29_78_29_49_39_91_11_34_62_78_22_9_95_72,2,0.075,6.5
genes_21_47_100_29_20_83_25_16_77_68_33_18_71_18_20_10_23_20_98_43_86_65_0_16_73_60_6_5_91_13_95_25_87_100_23_66_9_87_85_71_19_100_40_24_33_3_43_59_70_47_19_57_28_77_47_2_26_85_50_66_27_34_56_82_74_98_5_53_90_92_44_5_73_85_66_44_79_88_5_56_87_26_81_16_38_43_54_59_8_83_7_18_79_18_78_61_34_74_68,2,0.05,6.0
genes_93_34_81_31_28_9_36_44_71_36_83_19_9_63_18_76_25_55_15_23_86_43_52_19_56_61_10_82_59_93_56_15_86_10_32_66_37_5_34_50_32_100_49_62_4_67_37_20_59_68_58_69_28_62_45_88_24_22_48_96_41_39_51_92_9_1_5_25_31_20_71_83_59_68_51_22_89_59_13_41_34_33_25_90_62_28_77_33_28_43_40_94_76_54_79_69_2_2_27,3,0.0333,5.6667
genes_41_24_0_47_15_9_73_20_81_68_61_80_66_18_16_81_83_20_35_46_93_82_28_11_88_61_92_71_31_85_97_15_86_62_39_100_1_5_66_77_96_37_48_55_77_68_79_3_90_60_39_67_28_47_50_1_8_70_55_11_62_57_43_50_12_14_63_52_72_85_25_30_100_86_68_42_98_99_15_29_89_93_47_20_58_51_55_36_36_39_84_8_24_18_76_75_1_4_34,1,0.0,5.0
genes_25_74_73_16_25_86_28_36_7_96_68_88_53_71_23_35_25_65_38_95_4_19_51_3_16_58_92_71_31_93_63_18_84_29_13_85_7_75_79_72_91_100_78_85_32_26_80_14_59_91_54_70_86_47_51_90_47_13_50_40_30_77_56_53_39_14_4_52_40_86_77_39_5_24_14_42_72_61_81_24_59_82_47_29_62_44_29_36_46_38_7_92_22_67_67_61_0_69_74,1,0.0,5.0
genes_83_84_38_47_8_18_27_69_92_17_17_31_55_61_21_33_27_64_30_46_48_43_53_21_16_36_78_40_91_97_86_47_62_64_33_29_13_78_77_78_12_44_33_18_41_65_83_4_57_60_53_47_61_2_50_33_47_85_39_71_30_18_14_56_98_6_60_52_72_85_37_51_11_31_64_42_34_33_24_38_67_25_38_100_38_23_33_29_8_88_85_78_50_59_55_96_1_97_42,1,0.0,5.0
genes_79_85_100_42_45_80_33_27_11_68_57_38_94_18_87_32_86_25_35_30_7_79_78_78_49_61_7_84_72_48_79_6_87_99_33_98_19_89_18_97_54_100_64_24_60_3_83_21_86_50_57_61_63_27_46_52_69_85_35_69_90_88_48_53_9_89_60_6_14_100_77_57_59_26_64_42_63_33_81_36_34_8_81_99_1_40_14_33_15_48_12_97_94_26_53_62_2_71_42,3,0.0,5.0
genes_79_47_74_46_30_9_29_25_92_68_86_88_90_72_82_82_87_19_35_32_61_22_77_16_16_28_4_40_78_77_15_50_62_99_40_97_36_62_80_68_77_94_77_23_53_61_89_22_29_89_58_60_86_22_7_25_26_23_43_11_45_24_40_52_27_74_12_55_12_82_40_13_12_29_81_67_79_100_85_29_55_26_35_100_45_28_29_37_10_93_75_83_24_18_51_78_1_71_66,1,0.0,5.0
genes_21_31_0_96_13_9_33_35_67_49_56_48_83_66_10_3_89_13_69_92_5_19_77_46_59_20_10_85_58_94_84_0_56_57_35_85_27_73_1_73_21_100_85_83_9_67_42_9_30_72_55_64_84_4_45_20_14_11_9_92_35_88_31_69_83_69_60_67_22_100_39_26_66_18_82_86_74_92_75_92_62_10_40_38_43_40_71_28_44_90_10_86_47_54_67_16_0_100_65,1,0.0,5.0
genes_18_24_2_42_15_20_75_62_17_68_38_66_58_73_21_48_98_19_93_70_81_15_51_16_100_32_7_87_59_84_84_3_68_62_19_51_84_84_90_15_62_100_79_25_12_69_75_59_36_48_55_69_19_59_18_13_54_24_58_76_38_39_39_42_19_100_4_60_56_50_71_3_59_28_74_66_74_90_27_10_28_31_93_99_45_88_52_35_11_37_95_53_43_19_53_66_8_96_100,2,0.0,5.0
genes_79_31_0_47_13_87_30_25_7_68_57_46_58_82_21_27_26_48_69_14_5_1_50_16_60_20_8_43_62_91_82_49_89_94_35_54_22_53_76_12_35_100_76_83_7_75_93_6_57_23_65_58_84_47_45_20_25_37_5_11_36_90_31_72_49_80_17_54_22_100_39_26_54_89_22_40_86_70_80_97_62_56_25_38_38_23_71_39_46_90_8_92_34_26_76_16_65_73_65,1,0.0,5.0
genes_79_67_72_32_13_21_54_20_77_66_81_14_80_55_58_80_21_48_93_41_55_12_28_50_59_64_9_84_59_35_85_18_84_65_29_48_19_85_80_50_14_91_76_61_99_70_42_9_59_93_62_70_43_13_36_57_3_37_65_86_93_18_40_56_99_14_14_51_72_80_29_4_59_16_22_74_86_97_81_100_61_25_66_67_79_0_59_69_10_97_6_61_45_56_53_32_3_0_100,2,0.0,5.0
genes_74_36_23_62_45_5_32_28_27_54_60_24_73_87_16_76_25_19_59_19_19_37_48_40_84_81_94_12_58_90_7_100_10_94_20_66_25_67_77_15_1_88_66_70_15_84_54_86_37_49_58_37_57_26_36_55_20_41_94_66_35_83_29_57_27_32_58_56_78_49_44_35_69_29_21_69_8_17_0_19_18_79_35_98_68_9_73_29_21_43_5_59_95_62_45_62_9_30_65,2,0.0,5.0
genes_24_71_42_51_27_84_35_28_77_96_68_94_10_71_89_0_29_20_19_14_82_42_51_3_11_76_92_10_16_93_80_18_87_29_98_68_42_75_23_12_91_88_77_22_2_26_80_15_61_71_62_8_86_48_51_90_15_87_53_42_62_78_33_53_42_11_100_52_40_86_43_30_54_82_19_85_74_89_80_10_62_61_47_92_42_19_29_35_46_90_7_12_39_67_67_45_61_73_72,1,0.0,5.0
genes_24_84_0_93_27_83_72_69_99_73_86_20_25_27_15_10_23_64_68_30_43_43_51_21_59_4_78_32_83_56_22_75_89_14_33_29_77_83_0_82_12_44_34_71_43_65_43_90_70_57_53_53_88_81_43_10_15_85_39_74_30_61_17_56_9_33_59_47_80_85_34_37_12_31_64_42_79_36_81_94_54_5_91_99_33_23_10_56_10_84_7_18_76_25_53_21_2_97_42,2,0.0,5.0
genes_78_86_0_27_15_79_33_66_77_68_57_48_82_82_10_2_30_61_69_39_22_48_77_21_62_33_96_30_63_91_82_12_89_65_35_54_77_73_83_82_14_100_81_83_49_65_97_21_25_55_11_57_61_38_35_57_21_22_49_16_30_76_39_69_26_49_8_6_18_100_33_42_66_28_76_69_72_70_0_32_62_72_76_98_38_0_71_37_44_48_7_92_31_26_49_62_65_0_100,1,0.0,5.0
