Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_58_69_46_53_38_46_100_12_83_77_87_32_98_5_74_77_21_8_73_40_83_45_39_68_88_76_29_40_8_93_70_6_26_41_99_40_67_8_71_86_17_20_17_81_16_76_97_3_74_71_7_20_98_83_63_0_36_46_90_30_46_90_0_44_83_35_48_19_89_49_20_95_14_73_17_53_82_78_64_79_17_0_68_85_96_61_12_57_25_44_47_100_76_23_1_70_44_84_35,1,0.0,5.0
genes_60_23_35_53_47_11_54_33_87_11_95_84_59_27_29_78_23_29_78_40_35_15_49_77_59_10_7_23_9_89_38_22_85_88_60_36_25_32_24_59_77_57_95_92_32_32_24_98_53_77_29_11_79_69_88_67_43_66_10_18_37_48_31_94_66_20_94_20_88_92_88_90_63_62_48_64_61_59_73_12_65_7_96_31_16_91_25_73_97_32_76_12_49_100_52_70_35_5_88,1,0.0,5.0
genes_6_82_75_25_47_44_91_46_87_75_49_92_32_29_34_74_55_79_94_29_93_95_56_51_59_3_74_88_100_10_48_1_80_99_22_93_74_67_53_83_83_10_83_92_10_50_74_90_92_75_36_23_37_84_19_58_23_67_94_24_61_80_36_32_100_27_31_51_50_51_61_40_3_35_35_49_67_82_63_11_20_0_86_21_80_52_37_50_97_64_95_100_72_32_0_20_41_4_82,1,0.0,5.0
genes_45_69_45_52_22_46_100_21_83_74_92_50_65_13_94_33_91_5_73_54_33_83_47_68_31_92_73_44_5_93_70_6_26_67_99_30_67_13_71_41_73_26_17_81_16_99_46_3_32_71_69_20_17_83_88_75_46_46_58_81_11_38_43_44_91_12_83_94_87_22_99_96_21_80_28_53_66_74_28_12_20_4_8_85_81_23_33_54_27_3_2_100_76_23_57_75_66_84_78,2,0.0,5.0
genes_68_73_86_59_8_21_19_42_87_67_100_50_65_72_18_69_54_83_68_50_83_67_56_98_13_14_73_15_35_57_11_6_42_47_33_27_84_96_47_86_6_28_88_84_93_99_45_25_38_86_4_65_3_43_86_2_89_66_84_18_100_45_0_96_18_29_27_0_94_43_69_93_20_87_22_75_76_81_91_25_46_55_15_81_74_8_14_19_27_48_2_99_43_16_75_3_34_11_88,1,0.0,5.0
genes_6_47_71_19_42_47_54_42_87_75_18_50_6_69_24_35_14_87_78_29_83_6_89_47_13_15_27_36_20_95_36_63_46_87_37_26_84_1_67_59_22_50_79_54_0_81_74_26_94_74_100_38_77_83_56_13_61_60_6_25_13_52_32_44_49_12_88_64_41_98_93_4_23_35_42_40_15_97_63_5_4_0_86_21_77_10_23_67_55_93_94_95_61_15_5_80_9_20_91,1,0.0,5.0
genes_66_72_38_58_1_81_10_23_87_65_95_4_65_11_69_78_50_64_74_29_31_70_65_11_24_8_33_49_18_30_43_26_92_29_37_82_51_11_88_56_73_26_17_1_83_99_46_75_37_53_86_14_73_6_60_52_95_100_56_18_97_45_44_35_88_20_66_74_16_91_18_9_60_75_10_56_76_93_64_14_87_0_81_19_65_34_87_17_75_8_86_16_46_37_76_72_11_2_97,1,0.0,5.0
genes_6_82_86_29_52_21_42_42_12_67_89_50_68_37_20_11_19_79_74_33_89_57_56_86_79_0_73_88_28_89_62_19_26_99_33_27_54_96_53_89_10_22_83_0_93_99_14_69_92_77_64_77_76_10_19_60_89_70_93_18_100_38_37_64_52_15_86_0_26_92_99_35_86_87_22_75_67_76_63_25_72_0_86_21_80_8_37_50_25_3_76_97_39_16_0_42_41_13_82,1,0.0,5.0
genes_54_16_41_53_52_18_99_5_91_74_92_50_100_13_24_78_54_87_74_29_33_83_39_85_31_4_73_44_5_83_34_0_62_80_35_92_67_13_53_37_26_24_13_0_82_100_74_42_37_39_67_13_23_13_63_74_46_46_10_86_13_38_37_66_91_6_86_55_21_94_100_98_95_80_27_64_77_39_24_30_20_4_31_21_66_83_33_19_27_14_90_99_84_67_82_20_44_13_94,2,0.0,5.0
genes_81_72_38_28_62_66_99_19_92_65_73_43_65_33_64_92_16_5_73_33_31_67_81_15_83_10_66_5_14_53_70_88_98_82_22_35_84_34_75_7_6_53_53_81_79_95_36_98_87_7_96_60_82_44_7_46_37_58_93_23_11_90_0_33_76_2_16_35_28_95_100_96_3_5_16_33_89_93_68_75_32_39_82_90_81_43_65_9_75_100_2_96_39_53_3_100_33_66_88,2,0.0,5.0
genes_66_47_37_57_42_47_54_42_88_93_92_50_6_69_20_35_58_87_77_94_82_83_89_96_23_13_27_14_13_93_59_35_22_72_37_92_81_96_56_21_80_29_95_54_10_99_74_98_91_77_7_3_74_13_56_8_61_60_86_18_13_75_32_44_83_12_88_65_89_51_19_31_18_38_58_61_15_97_63_20_73_0_15_75_76_8_33_19_55_47_92_9_74_16_5_80_42_13_52,3,0.0,5.0
genes_70_72_95_27_96_46_100_26_91_77_98_46_32_8_2_77_25_89_73_20_83_47_51_96_70_6_70_51_15_53_16_21_65_86_85_92_72_9_24_4_17_23_73_25_82_99_44_98_94_71_84_44_76_79_84_58_2_70_88_77_10_43_36_48_17_19_10_3_0_46_19_91_100_62_16_80_69_79_67_20_32_41_90_20_81_52_32_44_97_48_13_95_43_32_4_99_47_65_91,1,0.0,5.0
genes_47_96_91_22_53_95_96_23_77_58_66_38_65_4_97_83_53_88_74_20_18_67_11_84_34_8_28_43_61_37_37_0_27_88_65_82_59_33_74_59_13_23_17_87_81_66_32_86_53_94_56_74_100_85_72_59_69_76_0_81_60_43_43_16_70_57_94_94_23_27_65_92_18_43_56_64_59_76_63_29_70_5_24_81_71_34_28_11_51_45_86_98_69_48_60_67_65_7_92,1,0.0,5.0
genes_61_53_42_35_53_47_54_36_87_77_64_50_65_51_49_35_13_83_97_29_80_17_89_67_83_76_73_34_59_93_50_57_15_70_68_92_81_81_43_6_26_19_73_54_10_52_74_23_81_3_38_23_74_80_60_13_61_61_54_24_12_52_37_32_49_12_90_65_47_51_19_98_27_35_35_61_13_97_76_5_34_41_86_23_87_96_20_67_34_47_94_97_77_15_2_20_35_78_91,1,0.0,5.0
genes_64_8_41_57_52_16_100_44_0_67_92_77_58_71_24_46_3_100_73_53_45_52_81_68_10_12_73_60_31_93_41_2_25_86_38_41_45_78_75_7_79_28_66_0_13_62_1_65_4_71_69_59_49_13_27_0_38_46_90_57_55_44_37_66_84_55_67_96_42_47_82_93_30_100_56_55_81_74_42_14_34_0_21_84_78_39_24_44_34_100_94_27_75_18_4_76_47_94_78,2,0.0,5.0
genes_58_8_80_25_52_13_58_41_3_74_24_33_98_71_29_46_8_7_73_31_80_79_47_84_3_17_66_45_5_24_50_41_25_80_35_27_45_78_71_41_25_23_100_92_18_94_85_65_83_53_7_13_52_13_88_89_38_58_14_85_55_38_37_64_84_55_67_96_18_51_82_91_2_78_22_59_41_15_29_13_13_0_21_21_71_2_27_73_34_95_96_85_75_54_75_76_65_0_41,3,0.0,5.0
genes_74_44_36_53_21_77_92_25_90_39_87_4_74_2_75_78_50_64_70_20_36_47_65_5_82_31_12_80_22_66_69_26_92_97_42_42_57_8_88_56_85_20_83_80_32_99_40_75_97_55_33_7_74_80_61_0_34_41_53_85_42_45_73_32_56_8_23_22_37_28_18_88_60_75_48_53_88_81_63_14_12_41_86_20_88_52_87_98_36_8_86_100_46_22_4_72_11_84_100,1,0.0,5.0
genes_65_60_30_57_49_13_99_86_9_33_94_46_58_70_20_31_56_85_68_35_49_3_73_11_18_28_62_41_14_65_36_21_26_81_24_97_51_100_75_1_77_27_15_89_61_20_1_23_93_97_91_6_79_33_62_46_39_58_77_18_11_77_43_20_77_6_44_51_3_34_95_93_18_95_17_68_82_81_53_24_7_39_39_100_81_40_5_47_32_95_91_96_25_53_51_77_40_7_38,1,0.0,5.0
