genes_77_21_54_38_41_78_80_11_86_65_70_15_19_32_40_23_8_73_49_46_78_28_56_51_81_37_0_95_9_56_86_92_79_25_86_33_84_75_46_3_99_18_53_16_10_10_46_5_16_43_16_33_43_4_29_54_54_41_28_95_50_18_59_9_47_71_68_21_56_78_40_98_48_33_12_30_34_28_65_100_5_11_6_2_74_21_75_84_100_15_67_49_34_26_69_33_1_0_57,1,0.2,9.0
genes_38_30_48_49_47_32_60_17_90_5_75_51_80_23_19_38_27_53_49_67_38_46_58_53_71_8_25_75_42_34_47_94_75_32_12_81_61_73_16_90_83_97_44_62_18_10_13_53_81_31_9_43_20_2_16_8_18_48_37_27_100_35_60_69_3_12_10_19_56_28_40_87_20_42_7_24_87_43_8_8_54_96_0_18_86_21_89_45_19_14_53_98_63_50_77_41_48_0_31,1,0.2,9.0
genes_74_34_59_29_36_47_3_43_85_78_80_27_72_72_44_40_66_61_42_77_43_4_29_41_60_27_2_44_67_29_83_92_100_60_85_36_95_85_42_90_97_74_57_100_91_12_12_53_16_36_88_45_21_8_31_99_58_48_3_46_82_36_65_7_3_74_66_25_45_29_39_68_49_30_100_30_79_77_47_100_76_100_55_7_93_16_76_85_100_13_66_48_66_25_95_81_0_10_29,1,0.15,8.0
genes_74_34_54_30_37_30_58_99_85_64_8_27_74_72_44_39_32_61_43_0_43_4_29_51_63_24_2_49_69_52_83_32_100_10_3_24_95_74_45_89_40_74_57_97_95_12_24_53_22_36_88_45_20_12_10_57_58_44_3_34_82_36_68_7_50_74_68_51_45_32_45_68_52_29_26_48_30_9_47_95_76_100_0_2_93_40_76_89_44_13_62_84_69_25_5_80_0_93_29,1,0.15,8.0
genes_84_22_62_39_46_24_0_44_85_66_15_99_74_78_67_40_66_34_52_1_43_41_41_50_57_27_12_44_2_28_58_92_85_50_59_31_10_75_42_90_40_97_48_11_96_46_16_6_10_95_88_46_15_0_6_57_59_41_0_95_82_59_73_64_0_51_70_10_53_73_90_99_3_29_25_52_82_46_44_28_59_13_6_16_29_40_89_22_7_11_89_83_59_35_13_83_42_0_53,1,0.15,8.0
genes_93_29_49_22_96_47_2_43_93_18_75_56_76_63_26_21_4_82_44_77_84_5_29_47_75_77_29_23_83_32_54_89_100_50_10_76_73_73_27_90_94_95_46_16_97_12_5_48_98_45_18_33_17_0_3_80_49_41_37_34_88_96_36_68_57_55_8_13_24_96_40_95_3_42_7_24_88_43_62_92_50_96_1_6_24_22_71_70_14_31_51_96_63_30_77_9_78_10_31,1,0.15,8.0
genes_80_59_49_67_99_32_2_87_93_72_16_100_74_25_26_27_50_82_8_98_90_14_29_61_52_90_5_74_70_32_33_88_35_19_67_19_7_73_27_90_25_34_27_11_10_32_18_53_23_6_9_33_43_4_3_77_36_63_23_88_64_18_36_63_5_55_72_13_53_93_99_95_53_67_57_18_0_43_48_28_62_72_2_6_29_23_75_25_7_28_50_48_39_68_80_84_78_1_31,1,0.15,8.0
genes_93_30_51_64_29_43_60_78_94_74_76_42_76_0_8_41_86_72_36_30_79_79_53_53_3_17_1_44_82_37_41_15_15_25_96_81_94_73_62_90_84_96_97_72_97_3_5_76_12_35_62_85_41_15_22_82_91_48_37_0_93_58_60_29_65_17_9_3_56_69_45_87_38_42_33_48_4_89_42_14_54_65_0_1_43_25_74_25_37_3_66_77_62_83_77_9_95_0_8,2,0.125,7.5
genes_47_64_51_39_43_75_2_15_16_79_15_21_71_2_26_95_66_60_8_77_10_5_32_79_50_52_3_48_86_28_89_79_88_91_30_31_48_73_14_5_86_18_63_100_98_6_16_43_10_43_88_46_42_78_75_4_33_42_79_95_90_59_36_64_67_55_66_38_55_73_40_99_58_33_50_49_54_3_32_28_79_79_11_16_93_22_89_68_12_18_15_51_30_64_74_83_42_0_35,1,0.1,7.0
genes_99_45_47_61_47_34_3_19_13_78_80_100_71_69_31_40_66_82_42_80_43_43_30_90_71_27_84_100_2_29_37_90_88_70_85_35_84_34_19_85_97_22_63_40_95_8_11_43_16_69_6_0_33_18_3_100_52_48_61_32_45_92_60_88_5_68_66_25_56_34_39_98_27_33_100_29_67_77_31_100_53_85_5_11_99_16_70_84_99_18_46_49_66_100_86_78_1_10_25,2,0.1,7.0
