Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_45_86_19_18_19_1_88_82_28_38_96_39_60_45_36_8_97_6_68_76_1_26_46_37_20_61_42_46_71_45_51_50_22_19_25_68_39_41_72_82_56_59_91_40_44_56_62_31_20_55_61_19_60_2_68_8_79_100_87_67_61_18_40_2_73_10_75_65_16_48_61_78_87_82_96_87_81_79_76_8_23_10_92_12_11_66_56_37_34_18_84_22_35_16_79_53_73_64_92,3,0.0,5.0
genes_70_60_85_25_47_87_72_24_73_90_52_69_74_37_39_85_23_15_69_85_93_80_39_37_20_83_37_42_30_90_41_41_31_96_49_99_8_93_82_8_90_46_12_24_53_96_28_100_84_55_63_19_57_81_39_11_88_8_47_30_32_48_41_77_73_42_98_92_53_100_61_79_36_51_80_70_20_66_73_3_85_33_7_96_73_40_53_59_67_86_44_51_6_13_76_75_32_64_31,3,0.0,5.0
genes_23_76_24_33_10_85_93_36_28_63_39_21_71_34_97_6_42_15_71_77_82_40_58_82_20_89_89_39_36_38_39_42_90_20_49_95_40_26_75_22_18_38_0_57_25_19_32_81_92_58_66_36_72_78_66_81_19_52_2_68_37_100_35_82_17_20_91_33_39_51_70_95_76_44_52_33_16_66_50_66_10_8_5_20_5_44_97_37_37_41_4_59_80_13_16_27_50_28_41,2,0.0,5.0
genes_23_95_83_35_9_87_62_35_1_25_52_24_65_4_2_12_61_22_59_12_4_22_23_82_14_57_24_51_21_9_43_56_75_48_11_95_37_95_19_22_22_54_72_65_28_66_67_9_12_41_98_33_33_83_46_59_77_58_48_68_21_9_40_74_57_53_81_35_58_4_15_92_18_92_12_42_82_63_81_9_10_5_95_93_96_95_58_34_6_36_87_59_32_98_68_75_16_0_26,1,0.0,5.0
genes_81_86_33_33_14_55_93_42_4_0_6_29_62_75_93_1_74_71_69_82_84_54_39_82_98_100_44_86_90_35_69_51_51_18_68_78_84_65_78_56_4_50_97_24_53_100_62_8_92_59_42_100_75_12_39_8_77_67_47_64_52_97_40_0_78_100_92_29_8_99_18_92_82_87_80_36_85_45_85_14_18_0_90_92_71_57_13_38_37_92_90_97_40_13_50_77_73_71_39,2,0.0,5.0
genes_30_86_7_25_10_1_88_33_63_33_93_39_62_0_33_35_67_74_99_76_84_25_50_82_89_61_13_19_87_45_93_100_73_61_65_95_9_60_36_96_9_58_68_82_90_99_3_3_40_9_73_28_66_100_4_79_83_95_67_67_37_71_67_69_67_5_75_36_16_100_60_46_0_86_16_61_16_63_74_45_16_5_21_18_12_21_52_22_34_54_91_80_14_44_47_33_49_66_68,1,0.0,5.0
genes_57_100_5_2_16_4_79_89_23_70_48_38_63_61_36_14_57_82_64_88_84_44_42_1_20_21_39_44_42_40_57_53_76_62_31_47_40_60_5_93_91_76_0_24_53_96_60_100_19_59_63_19_60_37_66_80_84_59_47_30_39_75_40_77_75_68_86_32_53_75_89_82_71_48_5_36_8_63_71_47_54_32_88_93_32_18_25_37_64_32_84_93_30_11_38_34_21_67_31,1,0.0,5.0
genes_14_96_10_58_9_32_68_81_73_71_100_69_69_0_100_13_20_76_75_88_52_0_23_78_20_52_1_52_85_43_30_51_26_53_21_33_10_84_12_8_57_54_0_24_0_90_28_99_40_94_64_20_38_81_94_87_51_56_47_97_53_73_39_54_66_46_96_51_16_75_73_4_36_87_43_11_75_60_86_3_54_19_26_16_9_38_100_70_34_55_44_59_39_16_54_27_27_19_48,2,0.0,5.0
genes_2_62_81_30_47_52_52_46_96_42_34_73_1_75_46_28_74_4_0_93_13_14_23_82_11_21_45_49_86_35_61_51_0_59_63_52_59_26_86_47_84_54_67_33_71_72_3_31_91_94_71_30_11_98_74_56_80_54_83_36_57_63_40_77_69_6_92_61_56_16_89_85_83_18_52_39_48_89_55_74_60_95_88_97_71_59_100_87_19_43_38_84_47_45_81_19_80_65_74,1,0.0,5.0
genes_33_86_32_31_58_91_88_50_78_56_56_27_48_41_95_35_20_4_59_26_82_21_46_82_89_61_39_49_87_90_63_62_73_59_49_99_40_60_14_6_9_58_68_61_90_91_32_5_84_94_64_19_15_10_43_56_63_60_67_45_32_48_42_60_57_62_5_36_16_96_3_46_75_89_16_36_84_58_48_3_14_0_0_52_68_25_100_33_34_56_38_80_15_13_89_61_73_0_39,2,0.0,5.0
genes_33_86_4_35_6_42_98_89_4_25_80_12_0_75_29_54_67_39_75_74_95_100_16_55_1_56_31_46_93_35_80_42_72_19_49_55_64_44_41_49_93_54_43_85_90_87_33_10_84_60_67_100_75_17_66_74_76_10_34_90_57_4_46_79_16_80_3_33_16_38_75_74_0_37_76_6_21_65_86_19_26_42_21_96_57_95_14_74_41_39_96_48_11_83_26_33_21_68_42,4,0.0,5.0
