Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_53_94_90_14_8_6_36_88_50_44_65_58_4_54_88_5_25_76_12_79_5_22_40_76_62_0_7_43_43_94_28_14_73_92_4_96_37_72_85_14_53_55_73_87_52_26_82_54_61_18_66_53_89_95_31_51_82_90_53_66_37_39_49_41_21_4_16_34_79_100_11_79_3_45_26_35_84_74_39_51_60_40_82_54_43_99_84_23_19_88_0_100_30_65_45_31_7_4_95,1,0.0,5.0
genes_16_98_4_19_8_3_38_27_7_50_57_41_43_76_95_3_67_27_14_88_33_29_57_59_18_60_48_71_49_41_31_78_7_29_36_60_42_60_16_19_13_50_28_9_1_37_82_98_30_63_62_53_92_36_78_0_18_70_58_89_30_21_40_41_54_52_55_34_27_11_21_4_85_32_23_90_74_61_53_56_24_10_84_93_43_89_74_38_4_62_85_100_28_24_41_29_73_71_49,2,0.0,5.0
genes_40_97_5_30_8_5_65_45_24_67_58_16_72_82_33_5_92_76_93_67_44_34_18_47_15_61_90_14_44_44_35_15_71_28_82_100_15_41_16_9_26_18_100_36_0_6_83_23_66_63_45_54_86_95_86_81_53_66_58_67_14_23_28_36_76_48_1_27_100_100_69_31_76_38_50_89_72_99_35_59_57_10_89_70_28_24_97_42_75_31_85_43_30_52_20_27_16_0_38,1,0.0,5.0
genes_26_97_54_9_18_35_28_60_87_63_56_36_69_94_88_44_26_8_13_84_57_29_43_96_48_22_21_96_93_40_93_14_75_57_38_100_27_68_8_12_14_43_78_33_30_35_3_58_34_88_54_66_22_76_10_85_58_26_43_66_26_95_49_13_51_91_7_64_49_90_21_36_85_27_39_41_0_99_32_49_52_57_20_54_61_100_77_63_55_36_89_33_68_10_82_73_7_70_99,3,0.0,5.0
genes_53_54_39_11_7_6_32_71_4_44_94_53_69_46_92_63_89_76_49_34_85_22_43_34_48_61_7_83_49_94_91_83_79_57_38_100_27_66_11_12_15_54_78_33_30_26_7_6_61_18_54_64_49_85_6_51_82_90_43_66_27_23_49_54_21_53_16_34_99_90_85_79_84_19_37_35_0_18_39_49_28_67_20_54_38_100_74_63_19_37_56_33_26_5_80_31_7_45_25,4,0.0,5.0
genes_41_85_80_10_1_6_76_6_92_21_94_99_18_74_75_9_87_12_0_16_93_44_45_94_15_32_51_85_55_11_30_78_93_22_100_98_12_73_68_70_27_73_97_15_77_100_82_35_95_58_53_98_55_51_40_100_77_23_58_62_29_93_43_36_21_7_0_44_30_40_52_79_64_30_96_35_21_76_27_23_55_6_96_90_35_46_84_35_38_40_47_39_7_69_77_31_6_1_29,1,0.0,5.0
genes_53_10_39_6_9_24_28_35_1_61_60_26_66_67_88_73_82_24_56_83_82_29_50_97_48_33_8_93_31_73_27_18_27_58_14_87_23_45_16_16_13_27_74_90_30_74_38_16_16_28_28_63_92_11_82_14_76_23_58_66_41_36_44_68_37_36_4_55_49_98_52_2_75_90_26_59_74_40_53_15_49_91_90_98_43_47_22_38_11_62_85_86_32_10_45_31_11_72_31,2,0.0,5.0
genes_82_59_39_9_83_87_80_27_0_42_12_74_5_73_22_10_92_34_95_22_49_33_28_90_17_34_51_87_53_41_44_54_79_58_40_100_37_68_80_9_15_50_78_33_31_21_67_6_30_59_66_9_92_98_66_37_80_71_46_92_29_94_40_90_21_22_0_30_49_98_52_69_90_28_19_41_84_90_32_61_40_4_93_95_63_100_57_23_7_88_94_60_31_84_68_69_71_52_23,1,0.0,5.0
genes_16_59_89_33_10_85_39_31_4_32_66_32_5_93_24_5_92_34_98_63_79_25_26_92_19_57_51_7_73_41_51_20_79_91_39_66_83_68_91_51_20_42_74_33_76_41_42_10_57_43_100_7_39_5_66_52_85_23_12_97_29_19_28_26_21_2_17_26_49_100_21_45_70_31_45_74_62_90_32_56_76_64_39_93_59_13_19_31_39_88_72_60_39_84_74_69_57_49_100,1,0.0,5.0
genes_31_97_76_9_44_8_76_40_92_65_94_54_55_58_30_6_69_24_0_67_85_23_19_97_79_32_94_43_96_11_5_39_77_60_100_100_6_41_3_32_23_52_82_64_80_70_83_35_95_61_82_81_28_51_37_57_69_65_66_58_25_93_43_36_80_5_72_64_30_10_36_28_64_30_97_39_8_75_25_23_57_37_88_72_35_46_77_84_19_45_47_20_65_22_82_37_12_70_29,1,0.0,5.0
