Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_64_60_55_22_55_14_3_34_85_68_73_7_8_33_23_83_2_79_84_34_37_11_13_100_78_29_43_42_42_38_32_12_42_94_12_41_67_26_47_44_77_49_35_86_29_76_21_16_55_96_38_71_6_3_39_13_25_52_82_19_88_82_21_44_94_54_9_94_11_16_99_66_21_35_3_32_66_91_60_50_55_12_61_49_69_34_26_86_35_100_99_5_66_5_91_75_64_47_23,1,0.0,5.0
genes_76_3_9_30_50_88_100_17_89_68_73_81_6_85_37_83_22_79_84_38_18_26_19_99_78_63_39_70_45_35_29_22_43_31_63_54_81_99_44_79_29_49_12_3_99_56_71_28_41_48_34_71_56_53_54_77_33_58_24_97_100_45_21_44_76_17_18_33_11_16_98_66_46_35_7_13_65_51_9_72_16_73_61_49_69_12_89_86_30_77_100_8_39_21_33_75_100_47_25,3,0.0,5.0
genes_58_36_55_21_47_14_5_66_92_67_17_82_8_51_51_57_30_31_78_32_25_22_93_40_45_70_22_65_14_46_33_12_28_26_10_94_70_56_25_0_22_57_35_88_30_84_78_27_93_65_79_20_39_85_42_68_29_53_37_90_65_82_19_43_84_52_15_95_37_98_67_98_74_21_2_55_15_87_39_37_74_57_86_100_70_14_34_30_32_4_99_72_44_73_91_34_90_3_64,1,0.0,5.0
genes_98_16_55_21_40_14_49_5_89_18_83_87_8_95_25_61_27_59_60_31_37_17_58_59_22_63_59_37_47_56_47_12_21_84_68_95_78_2_41_2_22_67_61_0_81_98_3_27_94_30_79_94_30_5_57_70_22_56_59_84_82_82_41_85_6_55_96_24_54_81_61_92_47_26_13_9_74_95_35_40_84_15_2_49_39_25_100_86_57_38_2_32_49_89_16_28_89_5_77,3,0.0,5.0
genes_87_43_11_52_77_75_100_65_85_67_91_81_9_37_43_60_5_16_57_20_47_71_61_36_67_28_26_8_38_88_45_19_65_37_83_94_5_26_75_2_86_37_85_87_94_39_18_27_58_38_50_12_4_82_32_10_25_66_97_94_82_42_35_40_5_54_96_94_31_43_99_51_23_26_88_34_83_79_0_18_17_73_64_100_12_15_22_36_30_81_8_35_66_29_47_18_10_37_26,2,0.0,5.0
genes_100_15_27_44_50_81_100_69_31_83_17_4_7_87_54_81_6_42_94_32_37_12_11_34_45_24_29_90_39_32_52_9_28_26_15_43_70_22_47_60_49_53_12_31_96_49_77_22_11_47_79_20_0_78_45_6_36_48_26_73_88_43_19_43_70_52_92_82_81_96_67_98_21_71_58_39_15_85_39_34_4_74_0_56_75_25_92_28_32_97_78_20_71_51_50_29_89_4_34,2,0.0,5.0
genes_58_16_85_11_49_17_100_66_90_46_86_90_45_30_30_85_5_29_80_12_13_13_16_63_26_85_61_38_10_91_45_12_52_43_79_94_76_84_32_2_26_42_64_69_29_99_71_30_94_76_84_94_30_13_26_49_68_88_55_54_98_30_98_39_87_53_90_38_28_97_56_98_21_55_2_43_66_90_59_43_52_40_0_48_89_22_96_86_100_75_47_85_39_89_92_83_93_4_61,1,0.0,5.0
genes_100_35_50_54_54_17_100_74_90_64_89_4_75_31_51_19_5_8_57_31_37_17_64_94_22_84_17_36_72_53_41_28_48_29_81_36_0_31_13_7_40_48_10_97_93_7_4_27_86_39_10_22_0_87_32_79_25_41_20_94_43_39_19_40_8_48_96_40_24_45_96_100_73_29_3_51_93_24_4_43_18_78_68_96_72_15_86_86_94_8_94_30_49_68_47_65_93_62_69,2,0.0,5.0
genes_62_77_10_11_50_13_46_31_15_78_17_89_73_8_37_83_22_75_58_38_47_11_19_41_27_8_10_66_11_22_60_12_43_93_89_51_81_80_48_79_29_60_12_87_81_80_3_32_37_50_79_32_24_35_34_38_41_50_52_99_70_45_43_23_79_54_94_90_51_46_80_48_49_35_12_13_67_50_72_72_8_57_19_42_69_30_89_19_96_77_5_39_39_56_28_85_91_90_23,2,0.0,5.0
genes_87_74_14_43_39_16_8_99_85_75_89_90_10_85_20_60_6_75_61_31_0_80_19_65_9_28_64_47_17_86_60_12_33_38_12_36_70_39_72_7_89_15_93_88_40_7_77_26_86_39_72_4_28_81_33_10_25_53_38_97_100_26_33_99_89_13_94_94_26_96_96_48_44_33_77_60_40_42_61_56_72_12_75_34_68_26_78_100_81_8_54_66_17_29_42_18_56_34_85,1,0.0,5.0
genes_96_12_10_11_50_12_100_3_81_93_86_81_10_33_87_45_30_79_63_12_30_70_21_59_5_67_4_11_14_35_54_12_24_87_63_100_79_25_42_2_27_54_71_90_95_47_22_25_7_75_26_30_34_4_32_50_97_48_86_92_38_42_23_23_100_9_3_90_30_97_13_83_44_59_5_13_82_78_59_17_25_77_61_87_64_34_96_90_32_81_35_87_39_28_11_70_5_5_61,1,0.0,5.0
genes_22_35_85_26_39_17_100_70_85_71_89_4_79_35_60_41_24_34_61_31_42_40_73_55_66_28_29_81_14_71_43_12_43_42_42_33_73_74_71_3_87_6_65_87_29_39_9_11_83_51_66_34_96_82_90_10_69_44_96_89_100_42_40_76_70_60_12_82_21_48_96_52_79_29_100_54_89_92_11_25_22_79_62_38_74_24_23_90_98_7_44_85_44_69_14_18_95_0_68,1,0.0,5.0
genes_94_13_97_21_76_10_100_93_92_65_89_77_75_88_20_57_30_42_80_32_37_12_33_38_45_63_59_8_17_48_45_12_23_26_17_34_76_31_44_0_34_6_71_87_99_76_78_31_43_40_79_41_16_40_54_68_25_62_97_92_65_82_35_67_84_54_15_90_79_50_14_100_77_97_2_56_57_80_39_34_27_58_69_100_70_14_35_98_67_38_52_85_39_73_45_34_95_0_69,1,0.0,5.0
genes_64_19_82_44_56_17_96_65_87_82_35_3_60_33_55_38_8_64_57_16_41_11_19_30_9_63_29_42_18_36_65_22_48_47_65_64_0_36_47_65_77_44_84_44_90_7_2_8_11_52_9_14_59_7_54_86_27_59_32_38_63_65_72_58_1_63_14_24_21_98_96_92_20_31_53_38_86_91_9_12_53_73_0_49_67_31_92_9_98_97_59_45_21_27_2_74_45_50_74,1,0.0,5.0
genes_64_74_94_39_78_17_96_38_89_64_93_75_68_88_61_63_3_83_48_7_48_80_80_63_8_64_60_47_32_67_60_8_57_91_22_87_69_99_38_16_81_70_55_90_29_23_1_35_87_75_48_29_28_1_32_70_18_43_32_78_92_41_38_94_0_93_15_33_24_83_100_23_57_36_63_60_61_9_59_94_11_75_75_37_68_15_90_98_48_38_94_70_48_74_2_75_5_10_70,3,0.0,5.0
genes_74_14_82_26_40_14_100_33_87_46_20_8_7_51_24_62_9_85_64_17_38_12_16_53_18_70_48_51_14_22_30_12_78_28_12_89_70_26_47_44_77_56_37_87_29_98_61_27_55_76_38_1_30_3_34_34_25_46_84_71_100_82_47_32_78_0_11_99_28_95_99_94_21_37_7_55_38_90_65_18_31_17_2_69_92_34_26_15_89_80_5_38_66_5_91_92_64_69_23,1,0.0,5.0
genes_62_86_80_20_56_17_100_37_87_74_93_3_72_93_30_63_34_83_41_17_17_11_21_99_8_65_64_47_32_92_60_14_33_32_43_83_70_58_38_2_28_56_66_87_29_26_2_44_89_78_9_14_95_10_51_86_27_43_53_99_65_13_19_93_6_95_22_46_78_100_96_68_21_35_4_38_74_58_59_70_17_61_84_39_70_15_79_88_98_38_96_70_64_69_74_73_51_8_70,1,0.0,5.0
genes_87_74_73_42_3_75_100_31_16_70_85_17_83_33_60_82_11_36_57_12_46_69_58_13_59_28_40_86_42_56_44_11_97_95_79_85_69_7_47_61_51_56_67_23_92_47_1_26_58_75_79_9_28_6_39_70_18_62_7_95_24_42_23_23_82_8_17_29_38_85_16_1_48_30_71_29_50_82_0_18_17_75_74_90_51_10_25_100_81_100_78_20_29_74_81_40_93_3_56,1,0.0,5.0
