Genes,GamesPlayed,RelativeUtility,AbsoluteUtility
genes_72_63_67_58_89_16_82_99_36_32_36_46_100_42_59_14_60_95_62_37_52_83_42_5_21_36_69_43_87_53_7_39_95_30_95_93_84_76_88_83_0_58_86_19_79_22_70_0_41_54_59_87_60_66_71_100_56_72_96_51_10_38_34_20_20_88_66_9_68_20_13_19_86_63_38_84_78_85_15_2_17_95_47_46_19_92_77_33_90_90_19_56_0_52_86_55_48_76_96,1,0.1071,20.0
genes_19_94_6_4_27_33_35_38_89_22_67_94_89_32_47_84_27_91_56_83_52_47_30_13_52_47_40_72_42_41_41_56_91_24_80_36_79_69_98_92_32_100_95_73_6_22_20_2_41_54_69_68_68_69_61_99_4_0_96_92_9_77_27_67_19_53_31_14_70_10_13_53_90_11_38_88_39_75_92_0_11_38_40_40_23_83_66_12_70_94_66_27_5_36_55_17_3_53_92,1,0.1071,20.0
genes_24_68_62_56_86_33_43_38_68_2_84_75_96_64_71_47_12_17_18_1_49_86_81_6_87_44_95_70_68_37_24_93_48_32_87_76_12_80_43_33_81_92_33_87_22_5_76_14_46_11_62_65_30_0_67_79_1_29_97_52_96_84_86_46_6_20_61_55_77_62_67_19_97_18_37_7_42_73_53_16_17_6_39_17_23_92_69_29_13_51_81_29_0_40_0_77_22_31_7,1,0.1,19.0
genes_70_57_67_57_81_43_31_97_68_4_31_17_96_64_71_18_92_20_18_21_49_48_69_8_87_35_95_43_45_26_24_37_93_32_32_96_4_80_71_34_0_20_64_87_22_9_87_10_41_11_69_65_98_55_60_9_54_29_88_42_94_40_34_19_16_88_71_98_73_85_11_13_18_5_37_96_34_79_56_16_17_42_47_13_87_23_70_15_96_91_83_47_0_40_0_54_33_31_92,1,0.1167,19.0
genes_16_57_71_16_80_17_36_8_100_0_86_64_100_64_91_84_27_100_61_83_38_48_73_6_28_35_97_72_42_41_41_56_91_26_13_75_73_69_0_92_42_75_33_90_29_18_76_58_42_43_69_68_82_74_61_87_71_0_78_80_12_37_15_81_11_72_31_100_70_10_75_58_89_11_34_30_33_88_92_0_11_39_47_8_23_54_71_20_26_88_83_94_3_52_0_55_6_7_43,3,0.1431,19.0
genes_0_27_65_2_27_43_77_38_89_18_45_17_89_32_47_18_75_7_56_26_52_59_73_6_20_20_40_36_38_20_67_39_90_26_13_100_15_74_76_33_32_19_86_98_19_14_20_53_41_54_46_36_82_38_79_95_10_0_98_80_54_77_21_90_22_55_59_17_31_10_13_58_21_5_38_88_19_12_9_2_53_91_34_40_42_14_70_30_17_93_12_52_0_52_50_17_5_53_96,1,0.1167,19.0
genes_44_63_67_34_81_24_71_57_90_63_27_89_58_32_69_97_96_24_61_90_21_35_70_6_64_34_93_29_64_41_21_92_91_12_35_11_15_100_49_29_32_68_12_86_58_5_80_69_23_19_67_63_51_79_67_93_24_3_3_57_64_48_37_89_30_22_25_99_34_20_0_18_23_3_38_91_33_76_64_0_12_37_25_20_34_21_71_58_71_86_38_94_99_32_0_68_34_74_36,1,0.1,19.0
genes_0_74_11_55_23_24_79_50_89_64_47_91_89_15_51_68_50_6_13_29_52_79_59_13_25_35_92_36_4_45_11_90_64_15_48_11_84_100_98_94_51_100_59_73_21_17_16_61_45_32_69_66_61_9_69_89_85_0_76_78_36_51_82_15_10_58_59_60_73_10_0_37_45_16_55_87_6_8_60_0_11_36_47_8_19_100_8_58_96_83_40_47_0_52_9_48_3_70_73,1,0.0929,18.0
genes_24_47_71_14_15_21_82_95_46_38_48_75_62_36_51_29_100_50_61_98_74_63_72_19_16_20_90_69_91_34_38_53_46_63_64_20_49_77_72_31_0_96_16_19_11_19_27_8_47_0_64_74_86_82_69_80_43_0_98_80_100_79_26_51_7_98_61_52_50_62_75_17_30_5_31_99_78_98_64_3_14_90_51_17_23_21_77_29_75_86_81_49_100_72_0_63_38_5_7,1,0.0929,18.0
genes_78_45_71_15_19_21_36_96_50_98_46_75_92_32_50_48_68_29_61_37_49_85_78_19_24_38_96_44_91_34_11_53_46_26_95_97_49_73_72_31_5_19_72_78_2_19_29_14_46_0_49_65_30_0_61_5_61_0_83_100_91_29_26_51_54_56_59_55_75_62_73_24_12_5_38_100_42_98_16_0_64_43_15_17_23_92_71_29_13_94_81_52_7_72_84_4_64_10_7,1,0.1625,18.0
