genes_47_1_43_42_37_2_1_3_18_10_16_83_24_74_97_81_60_67_10_59_84_57_100_86_23_87_2_100_78_9_45_76_55,8,0.125,17.5,0.1094,111.1429
genes_73_1_41_33_37_34_3_30_24_33_11_78_16_78_96_74_39_67_10_59_81_57_100_86_23_29_23_28_46_5_50_50_55,8,0.12,17.0,0.0988,88.668
genes_89_1_46_42_37_15_50_39_18_17_38_82_22_74_98_74_39_67_10_60_11_57_100_86_23_92_2_33_45_9_47_50_95,8,0.12,17.0,0.1041,84.9066
genes_77_1_45_32_39_15_2_39_64_63_14_83_15_77_96_79_24_41_16_50_16_56_91_33_22_93_27_10_11_25_50_52_98,8,0.1188,16.875,0.1062,150.1627
genes_77_49_44_32_35_34_7_3_18_33_13_78_16_5_90_84_67_41_11_59_14_39_91_62_29_94_26_17_46_5_45_52_95,8,0.1175,16.75,0.1022,141.3408
genes_42_49_53_35_39_15_2_0_77_63_12_98_18_74_100_78_27_40_14_61_13_49_99_64_25_92_6_28_44_79_50_52_100,8,0.1199,16.75,0.1066,96.1385
genes_44_48_40_32_41_64_7_10_48_30_12_84_31_5_96_84_60_38_14_60_16_56_99_62_93_93_26_17_48_74_45_47_100,8,0.115,16.5,0.105,156.1997
genes_94_1_45_32_41_15_46_3_64_35_13_83_50_78_96_87_65_4_17_28_14_39_100_45_34_92_25_20_25_91_45_52_42,8,0.115,16.5,0.1066,146.3572
genes_47_49_43_32_41_19_7_3_48_10_21_84_47_5_96_84_60_11_10_59_11_56_20_46_93_87_26_23_64_74_45_47_100,8,0.115,16.5,0.1043,142.1609
genes_94_1_45_32_41_15_1_3_64_35_12_82_50_76_96_84_67_7_99_60_14_93_95_46_27_92_25_20_45_91_40_36_42,8,0.1149,16.375,0.1064,150.5626
genes_40_1_43_32_41_15_7_10_48_33_12_79_20_76_96_84_60_67_14_61_16_92_95_62_27_92_13_33_47_76_40_47_40,8,0.1138,16.375,0.1074,176.5745
genes_44_29_46_42_41_89_7_10_24_67_12_83_20_74_96_84_60_67_14_60_16_57_100_86_23_92_26_17_47_74_43_47_100,8,0.1125,16.25,0.107,176.3457
genes_44_1_45_32_41_89_7_10_48_35_9_84_35_76_96_84_64_41_10_60_14_56_95_62_93_92_14_17_45_74_40_58_44,8,0.1148,16.25,0.0971,94.0926
genes_34_1_72_33_35_17_10_4_18_34_13_78_15_69_96_81_60_7_14_59_11_39_91_46_23_29_27_35_52_5_54_52_48,8,0.1135,16.125,0.1052,173.3911
genes_73_49_46_42_35_89_1_10_48_12_12_83_24_5_96_84_37_67_10_60_81_56_100_86_93_29_2_28_52_74_40_50_53,8,0.1113,16.125,0.1044,110.9742
genes_47_1_41_32_41_19_1_3_18_33_16_79_50_76_90_84_27_11_10_60_11_93_95_46_23_29_19_33_78_76_40_36_49,8,0.1146,16.0,0.1074,150.7024
genes_94_1_45_33_41_89_46_3_64_35_9_82_34_76_96_84_67_6_10_28_12_39_71_46_27_94_23_23_45_91_55_52_48,8,0.11,16.0,0.1068,164.3707
genes_40_1_45_37_35_89_7_39_48_33_16_79_50_76_90_30_27_41_14_60_92_57_65_46_27_92_13_33_47_74_40_36_100,8,0.11,16.0,0.1057,145.3481
genes_73_0_45_42_41_2_1_30_64_31_11_82_34_76_96_84_39_7_10_57_14_57_100_89_23_92_25_28_42_87_55_58_42,8,0.111,15.875,0.1055,163.3546
genes_44_49_44_57_38_34_86_10_44_35_13_78_16_5_89_84_60_41_10_60_15_45_91_62_93_52_23_23_46_5_41_52_48,8,0.1097,15.75,0.105,135.1297
genes_77_0_43_37_40_15_0_39_64_33_9_82_50_16_90_84_24_67_14_60_13_49_95_51_22_93_46_33_52_76_47_52_100,8,0.1194,15.75,0.1141,107.0621
genes_44_1_45_32_41_89_47_3_64_18_12_84_34_76_90_84_70_9_10_27_16_39_71_64_56_92_6_20_45_76_40_57_100,8,0.1075,15.75,0.1065,158.6356
genes_94_49_45_32_41_89_46_3_64_10_9_82_34_73_96_84_67_7_10_28_11_39_91_46_22_96_25_20_45_91_55_58_42,8,0.1063,15.625,0.1065,159.8113
genes_34_2_45_35_35_89_1_10_49_38_16_82_17_69_100_84_67_40_14_28_14_39_95_62_27_92_25_30_52_91_57_58_48,8,0.1062,15.625,0.1036,164.8783
genes_68_5_51_36_35_2_7_30_18_33_98_83_24_79_90_74_39_67_10_9_81_53_100_46_23_24_2_33_25_9_45_52_55,8,0.105,15.5,0.1033,160.7439
genes_68_5_44_84_35_17_1_30_51_38_13_83_50_74_100_80_61_67_14_8_14_43_95_62_36_93_27_33_52_0_45_52_48,8,0.105,15.5,0.1013,138.0672
genes_68_5_56_34_41_15_7_3_18_33_13_82_50_79_90_81_60_11_13_12_11_53_15_46_36_93_13_22_78_91_45_52_42,8,0.105,15.5,0.1052,148.2555
genes_68_1_56_34_35_15_2_30_56_63_14_83_15_17_90_78_23_43_14_8_14_49_99_46_25_93_28_28_52_91_45_52_100,8,0.105,15.5,0.1046,168.1517
genes_89_30_43_33_37_15_7_10_18_99_12_82_22_5_96_80_60_41_68_60_11_65_100_46_26_92_26_33_45_74_38_47_95,8,0.1038,15.375,0.0913,82.7616
genes_44_53_45_32_41_89_7_8_48_33_12_79_20_76_90_86_27_67_14_60_16_93_95_46_93_29_13_33_47_76_40_47_100,8,0.1037,15.375,0.1059,122.618
genes_40_29_12_42_35_2_1_30_24_12_11_79_50_76_97_74_27_67_99_9_97_93_96_82_27_29_3_28_42_76_47_48_40,8,0.1037,15.375,0.1029,142.7219
genes_94_1_45_30_41_34_7_3_61_35_13_78_16_76_96_84_67_7_10_30_14_39_71_41_27_94_25_28_46_5_55_52_42,8,0.1025,15.25,0.1088,188.981
genes_94_1_43_32_41_89_46_3_81_33_9_82_34_74_66_84_67_43_99_60_11_39_71_46_23_94_2_21_45_91_40_58_42,8,0.1035,15.25,0.108,142.4262
genes_94_1_41_32_41_20_46_3_63_35_9_82_47_76_96_81_60_11_10_28_14_39_71_46_27_92_25_20_78_91_47_76_42,8,0.1025,15.25,0.1074,151.4253
genes_44_1_46_33_37_32_6_30_24_35_13_83_16_78_97_84_35_7_10_57_81_39_100_46_21_29_18_24_38_9_52_52_48,8,0.1025,15.25,0.1054,182.8883
genes_44_49_59_32_41_89_7_30_18_33_12_84_50_5_96_87_60_63_15_3_14_53_95_62_93_92_13_17_47_74_40_52_42,8,0.1025,15.25,0.0998,130.9576
genes_77_1_56_33_37_15_2_39_18_99_14_83_50_17_93_78_24_43_68_50_11_49_99_51_26_92_0_33_45_79_50_52_95,8,0.1012,15.125,0.1037,104.0427
genes_73_29_56_33_37_14_50_30_24_12_13_83_50_76_97_80_39_67_10_60_11_57_100_46_26_29_0_30_42_95_47_48_55,8,0.1023,15.125,0.1026,133.5168
genes_68_49_43_34_41_15_2_30_18_33_13_84_45_4_96_84_60_41_14_8_16_56_95_62_93_93_26_86_25_74_45_53_97,8,0.1013,15.125,0.0955,126.6736
genes_40_1_43_37_35_19_1_3_78_10_12_82_50_79_96_81_65_67_10_59_97_93_20_46_23_87_23_33_78_91_42_36_42,8,0.1,15.0,0.1055,144.3037
genes_89_1_41_32_41_15_46_39_64_35_13_82_50_76_92_84_67_7_68_60_11_37_100_46_27_97_25_33_49_91_58_58_42,8,0.1,15.0,0.1046,148.7536
genes_94_8_56_32_35_15_46_30_64_33_15_83_52_76_100_87_67_67_17_28_14_53_67_43_27_92_13_20_25_91_55_58_46,8,0.1,15.0,0.1056,147.8011
genes_12_1_43_32_41_20_50_10_48_99_12_84_20_5_96_84_58_41_14_56_16_56_99_62_93_92_0_17_47_74_54_44_95,8,0.1097,14.875,0.1038,161.1559
genes_73_29_46_42_63_2_1_30_24_12_11_83_24_74_97_74_42_67_10_57_81_57_100_86_23_29_2_28_42_9_47_51_55,8,0.0975,14.75,0.0996,159.3978
genes_45_1_56_37_35_17_50_39_78_30_12_79_50_76_93_84_67_45_63_60_94_53_100_46_27_29_18_33_44_95_54_36_94,8,0.1083,14.75,0.1074,151.5473
genes_68_1_44_34_35_15_7_3_22_17_13_85_21_76_90_87_25_71_17_59_16_53_100_46_23_93_25_32_25_91_40_52_42,8,0.116,14.625,0.1148,97.0126
genes_77_0_40_32_39_19_2_39_18_14_14_83_15_79_100_78_24_11_10_59_11_39_99_49_25_87_28_96_52_91_50_52_42,8,0.1033,14.5,0.1043,175.2281
genes_42_49_44_33_33_25_47_93_78_39_12_84_16_76_90_84_60_7_10_58_16_39_95_46_23_96_23_24_44_5_40_56_48,8,0.108,14.5,0.1075,172.9502
