genes_28_76_34_96_60_23_19_50_16_20_39_36_17_60_47_60_11_74_22_61_42_46_0_59_46_49_92_34_62_65_79_35_96,8,0.125,12.5
genes_43_76_19_92_59_23_23_50_26_24_39_73_22_60_47_63_11_74_26_56_42_46_61_73_46_46_47_29_69_57_28_31_92,8,0.125,12.5
genes_43_76_44_96_55_23_23_50_15_20_96_32_17_55_47_60_11_74_23_61_42_46_0_77_46_20_92_29_12_64_25_35_28,8,0.125,12.5
genes_43_87_19_92_60_37_12_50_21_22_39_36_22_60_47_63_33_74_26_59_45_48_61_60_51_46_47_29_61_65_28_35_99,8,0.125,12.5
genes_43_90_38_1_94_23_12_50_16_22_39_71_20_58_47_60_11_73_30_57_42_45_61_84_50_46_94_29_67_70_28_35_99,8,0.125,12.375
genes_43_76_33_96_58_72_19_49_24_20_40_36_22_60_47_60_11_74_28_61_42_46_0_64_46_50_92_29_8_65_22_35_28,8,0.125,12.125
genes_43_87_38_96_60_18_12_50_15_16_96_32_17_57_47_60_33_73_30_55_42_46_0_59_51_20_92_29_66_65_28_35_28,8,0.125,12.125
genes_43_87_37_97_12_23_23_51_15_20_39_32_17_60_47_79_11_75_25_59_45_79_0_59_46_17_44_29_17_63_22_35_19,8,0.125,8.75
genes_43_74_37_96_60_23_19_50_15_20_36_32_22_60_47_60_11_74_23_54_42_46_0_60_46_46_92_29_12_63_22_35_28,8,0.175,-12.5
genes_28_76_40_41_60_18_25_57_15_30_4_62_17_60_47_56_35_74_22_61_42_45_0_60_54_49_94_34_62_44_30_35_96,8,0.175,-12.5
