genes_66_39_28_54_22_38_6_2_41_35_25_69_10_89_42_50_51_24_95_14_77_49_63_0_95_14_48_52_58_86_9_60_66_97_45_83_34_79_84_45_70_48_57_93_54_17_31_13_21_0_4_76_74_100_40_17_91_58_16_19_2_17_91_78_70_29_89_67_16_79_83_95_75_56_27_81_33_93_10_56_25_34_36_93_66_100_53_98_40_63_14_57_22_23_7_75_63_65_99,1,0.1625,31.0
genes_74_42_71_59_69_45_9_27_42_91_18_95_15_58_28_37_55_30_90_81_65_87_62_12_95_38_0_17_24_75_61_54_38_75_34_13_90_79_2_40_11_11_63_84_57_0_84_0_37_72_11_73_79_46_40_54_75_7_25_100_22_13_95_76_50_34_63_93_41_63_29_23_14_60_90_44_29_77_32_19_37_30_17_20_56_100_15_72_44_83_0_51_85_18_8_55_49_60_100,1,0.15,29.0
genes_51_39_91_56_26_45_82_45_38_15_80_83_2_88_42_50_48_47_49_34_36_90_88_0_28_14_25_81_58_53_61_98_56_63_24_83_75_79_94_9_15_43_57_93_54_20_31_6_21_69_17_84_11_29_16_78_6_72_21_60_2_12_98_77_39_29_89_67_19_74_83_95_60_18_90_81_35_90_25_56_22_30_37_47_66_13_15_21_43_4_65_57_22_9_3_37_54_65_100,1,0.15,29.0
genes_51_39_28_51_27_63_77_54_46_100_71_78_4_26_42_89_52_26_60_34_97_87_86_15_14_14_12_69_65_35_48_20_66_70_33_14_10_77_84_16_6_48_59_15_7_18_55_72_56_25_11_84_58_29_40_23_93_36_22_60_39_38_68_16_84_33_60_72_16_10_87_95_37_66_64_81_37_73_57_19_25_62_39_53_66_95_6_69_78_68_62_56_77_15_59_30_100_59_100,1,0.1375,27.0
genes_78_0_23_56_39_40_96_2_66_35_14_74_56_56_78_97_58_38_51_34_9_76_88_0_64_16_0_61_14_75_56_19_77_62_82_15_95_80_99_79_0_87_57_92_28_17_64_0_43_66_17_15_73_100_40_78_3_78_16_19_0_4_45_65_72_31_65_22_66_79_29_95_92_69_94_13_36_77_0_4_27_59_11_0_11_13_76_15_58_65_74_51_24_47_6_54_98_14_100,1,0.1313,26.0
genes_79_73_54_51_19_36_96_2_46_95_100_71_67_54_35_1_45_30_92_37_69_41_58_18_91_64_26_61_25_23_48_28_36_65_33_54_8_77_72_38_7_77_60_84_89_7_86_6_50_63_17_69_83_16_91_83_93_36_26_81_37_75_83_84_45_57_50_62_70_2_89_40_96_60_94_19_31_82_3_4_2_59_11_92_30_27_15_63_52_63_74_60_24_82_16_72_22_63_100,1,0.125,25.0
genes_66_62_50_78_26_45_22_2_40_38_25_69_8_93_28_38_50_24_96_12_74_87_63_0_72_21_48_69_67_75_9_98_66_81_29_15_32_81_91_48_94_84_8_88_44_12_32_10_21_50_27_67_74_10_92_54_1_58_26_22_2_17_87_81_72_68_56_96_91_79_87_18_74_59_83_68_98_77_28_21_22_12_11_70_1_95_53_64_95_62_0_41_23_34_7_73_39_6_0,2,0.1292,23.5
genes_72_7_4_59_71_41_60_6_40_61_80_25_9_85_86_89_54_39_90_82_14_7_23_11_93_15_44_21_62_28_47_94_22_81_83_85_75_76_77_7_91_85_6_95_42_0_33_0_30_4_32_14_12_29_93_78_0_76_26_60_12_12_88_78_88_66_53_13_16_23_87_52_84_60_88_39_31_80_11_35_97_48_16_78_23_95_0_44_52_15_60_48_24_85_7_72_99_68_36,2,0.1156,23.5
genes_79_86_58_49_71_43_60_6_70_57_100_71_12_96_86_8_48_26_90_12_73_94_55_28_93_25_51_100_71_41_51_100_78_70_84_88_95_81_99_48_37_53_61_90_55_12_69_10_37_14_17_73_76_10_63_78_1_7_9_79_22_86_37_14_45_66_53_67_86_23_87_95_35_60_88_47_33_80_28_19_23_48_10_48_1_13_81_17_9_89_57_72_21_23_49_40_49_66_38,1,0.1125,23.0
genes_52_80_52_54_94_36_11_0_70_50_80_21_81_90_27_50_47_26_91_35_98_90_47_7_90_85_7_17_70_43_48_39_38_70_62_21_98_78_78_0_4_82_57_97_39_8_84_100_21_2_97_69_18_33_19_54_2_13_24_61_2_12_34_57_70_32_58_66_28_15_58_95_60_56_22_81_34_73_17_19_32_68_15_47_92_10_53_44_52_20_74_48_23_83_8_78_20_60_100,1,0.1286,23.0
